future_edge_probability,mask_replicate,n_targets,nucleotide_ce,nucleotide_accuracy,full_vocab_ce,full_vocab_accuracy
0.0,0,640,1.0516807109117507,0.5109375,1.0517015367746354,0.5109375
0.0,1,640,1.0516807109117507,0.5109375,1.0517015367746354,0.5109375
0.0,2,640,1.0516807109117507,0.5109375,1.0517015367746354,0.5109375
0.0,3,640,1.0516807109117507,0.5109375,1.0517015367746354,0.5109375
0.0,4,640,1.0516807109117507,0.5109375,1.0517015367746354,0.5109375
0.01,0,640,1.1824761509895325,0.4578125,1.182494568824768,0.4578125
0.01,1,640,1.1665298342704773,0.4578125,1.16653071641922,0.4578125
0.01,2,640,1.1853226661682128,0.4609375,1.1853362441062927,0.4609375
0.01,3,640,1.1584432005882264,0.4609375,1.1584763288497926,0.4609375
0.01,4,640,1.178338247537613,0.4453125,1.1783531844615935,0.4453125
0.02,0,640,1.246879243850708,0.4140625,1.2469083547592164,0.4140625
0.02,1,640,1.2435437202453614,0.4265625,1.2436178207397461,0.4265625
0.02,2,640,1.2209752321243286,0.40625,1.221032166481018,0.40625
0.02,3,640,1.2255868196487427,0.425,1.2256032228469849,0.425
0.02,4,640,1.2370038986206056,0.4171875,1.237055492401123,0.4171875
0.05,0,640,1.295962381362915,0.3828125,1.2960318088531495,0.3828125
0.05,1,640,1.2923974990844727,0.3828125,1.2925996780395508,0.3828125
0.05,2,640,1.3031240940093993,0.4015625,1.3031916618347168,0.4015625
0.05,3,640,1.319688320159912,0.3609375,1.3197134971618651,0.3609375
0.05,4,640,1.303641414642334,0.3703125,1.3038565635681152,0.3703125
0.1,0,640,1.3342103958129883,0.35625,1.334348487854004,0.35625
0.1,1,640,1.3367652893066406,0.34375,1.3370644569396972,0.34375
0.1,2,640,1.3367923736572265,0.346875,1.3384900093078613,0.346875
0.1,3,640,1.353014087677002,0.346875,1.353123950958252,0.346875
0.1,4,640,1.344667911529541,0.340625,1.344838809967041,0.340625
0.2,0,640,1.3587875366210938,0.325,1.358881378173828,0.325
0.2,1,640,1.3541824340820312,0.325,1.3543136596679688,0.325
0.2,2,640,1.3461601257324218,0.33125,1.346197509765625,0.33125
0.2,3,640,1.3513191223144532,0.328125,1.3514839172363282,0.328125
0.2,4,640,1.3636642456054688,0.315625,1.3637313842773438,0.315625
0.3,0,640,1.3748855590820312,0.3078125,1.3749870300292968,0.3078125
0.3,1,640,1.3683090209960938,0.3125,1.3684799194335937,0.3125
0.3,2,640,1.3605392456054688,0.309375,1.3606552124023437,0.309375
0.3,3,640,1.3673408508300782,0.30625,1.3675064086914062,0.30625
0.3,4,640,1.3839004516601563,0.3125,1.3839736938476563,0.3125
0.4,0,640,1.386376953125,0.3015625,1.3865158081054687,0.3015625
0.4,1,640,1.3825164794921876,0.28125,1.3826080322265626,0.28125
0.4,2,640,1.3772109985351562,0.30625,1.3773452758789062,0.30625
0.4,3,640,1.380889892578125,0.2859375,1.38095703125,0.2859375
0.4,4,640,1.3852783203125,0.3,1.3853271484375,0.3
0.5,0,640,1.397301483154297,0.2921875,1.3974525451660156,0.2921875
0.5,1,640,1.3855819702148438,0.2921875,1.3856277465820312,0.2921875
0.5,2,640,1.3823577880859375,0.2984375,1.3824432373046875,0.2984375
0.5,3,640,1.388409423828125,0.303125,1.3885223388671875,0.303125
0.5,4,640,1.3946044921875,0.2890625,1.3946441650390624,0.2890625
0.6,0,640,1.4017745971679687,0.2859375,1.4019134521484375,0.2859375
0.6,1,640,1.3943328857421875,0.29375,1.3943588256835937,0.29375
0.6,2,640,1.398297119140625,0.3078125,1.398406982421875,0.3078125
0.6,3,640,1.39998779296875,0.2859375,1.4000167846679688,0.2859375
0.6,4,640,1.4039901733398437,0.2859375,1.4040573120117188,0.2859375
0.8,0,640,1.4112091064453125,0.2890625,1.411309814453125,0.2890625
0.8,1,640,1.4052627563476563,0.275,1.4052993774414062,0.275
0.8,2,640,1.4097869873046875,0.2875,1.410040283203125,0.2875
0.8,3,640,1.4112762451171874,0.2875,1.4113525390625,0.2875
0.8,4,640,1.4149215698242188,0.2921875,1.4149765014648437,0.2921875
1.0,0,640,1.4246315002441405,0.2703125,1.4248031616210937,0.2703125
1.0,1,640,1.4246315002441405,0.2703125,1.4248031616210937,0.2703125
1.0,2,640,1.4246315002441405,0.2703125,1.4248031616210937,0.2703125
1.0,3,640,1.4246315002441405,0.2703125,1.4248031616210937,0.2703125
1.0,4,640,1.4246315002441405,0.2703125,1.4248031616210937,0.2703125
