point_id,arm,plot_series,kind,step,objective,dataset,endpoint,orientation,auprc,se,n_rows
source-clm-direct-step0000,source_clm,Source CLM direct,source,0,clm,mendelian_traits,_macro_avg_,protocol_fwd,0.37542441798495857,0.01564377313635056,16100
source-clm-direct-step0000,source_clm,Source CLM direct,source,0,clm,mendelian_traits,_macro_avg_,protocol_fwd_rc,0.39552499236160693,0.015695510354547717,16100
source-clm-direct-step0000,source_clm,Source CLM direct,source,0,clm,complex_traits,_global_,protocol_fwd,0.1291014903562792,0.00433895127813665,11630
source-clm-direct-step0000,source_clm,Source CLM direct,source,0,clm,complex_traits,_global_,protocol_fwd_rc,0.13408314051741907,0.004996553421133972,11630
source-clm-direct-step0000,source_clm,Source CLM direct,source,0,clm,sge,accession_consequence_macro,protocol_fwd,0.3441458668504084,0.010558400677630317,8
source-clm-direct-step0000,source_clm,Source CLM direct,source,0,clm,sge,accession_consequence_macro,protocol_fwd_rc,0.35762290978049627,0.01107148733997156,8
clm-replay-step0000,clm_continuation,Source CLM save/reload,replay,0,clm,mendelian_traits,_macro_avg_,protocol_fwd,0.37542441798495857,0.01564377313635056,16100
clm-replay-step0000,clm_continuation,Source CLM save/reload,replay,0,clm,mendelian_traits,_macro_avg_,protocol_fwd_rc,0.39552499236160693,0.015695510354547717,16100
clm-replay-step0000,clm_continuation,Source CLM save/reload,replay,0,clm,complex_traits,_global_,protocol_fwd,0.1291014903562792,0.00433895127813665,11630
clm-replay-step0000,clm_continuation,Source CLM save/reload,replay,0,clm,complex_traits,_global_,protocol_fwd_rc,0.13408314051741907,0.004996553421133972,11630
clm-replay-step0000,clm_continuation,Source CLM save/reload,replay,0,clm,sge,accession_consequence_macro,protocol_fwd,0.3441458668504084,0.010558400677630317,8
clm-replay-step0000,clm_continuation,Source CLM save/reload,replay,0,clm,sge,accession_consequence_macro,protocol_fwd_rc,0.35762290978049627,0.01107148733997156,8
clm-replay-step0001,clm_continuation,Continued CLM replay,replay,1,clm,mendelian_traits,_macro_avg_,protocol_fwd,0.37393931503261857,0.015477491295406329,16100
clm-replay-step0001,clm_continuation,Continued CLM replay,replay,1,clm,mendelian_traits,_macro_avg_,protocol_fwd_rc,0.39554602255137167,0.015635323044312033,16100
clm-replay-step0001,clm_continuation,Continued CLM replay,replay,1,clm,complex_traits,_global_,protocol_fwd,0.1290424107807153,0.004353889963369395,11630
clm-replay-step0001,clm_continuation,Continued CLM replay,replay,1,clm,complex_traits,_global_,protocol_fwd_rc,0.13390790873979716,0.004985199568488531,11630
clm-replay-step0001,clm_continuation,Continued CLM replay,replay,1,clm,sge,accession_consequence_macro,protocol_fwd,0.34415043864480505,0.01057330364695774,8
clm-replay-step0001,clm_continuation,Continued CLM replay,replay,1,clm,sge,accession_consequence_macro,protocol_fwd_rc,0.35757043425265456,0.011082162874579676,8
clm-replay-step0005,clm_continuation,Continued CLM replay,replay,5,clm,mendelian_traits,_macro_avg_,protocol_fwd,0.3741499216853018,0.015557954004687354,16100
clm-replay-step0005,clm_continuation,Continued CLM replay,replay,5,clm,mendelian_traits,_macro_avg_,protocol_fwd_rc,0.3947533395095876,0.01564887063773555,16100
clm-replay-step0005,clm_continuation,Continued CLM replay,replay,5,clm,complex_traits,_global_,protocol_fwd,0.12911663499768847,0.004368165532838784,11630
clm-replay-step0005,clm_continuation,Continued CLM replay,replay,5,clm,complex_traits,_global_,protocol_fwd_rc,0.13447583854398293,0.005015043784644337,11630
clm-replay-step0005,clm_continuation,Continued CLM replay,replay,5,clm,sge,accession_consequence_macro,protocol_fwd,0.3454619631731142,0.010582801894837133,8
clm-replay-step0005,clm_continuation,Continued CLM replay,replay,5,clm,sge,accession_consequence_macro,protocol_fwd_rc,0.36178264915698877,0.011140718078870453,8
clm-replay-step0010,clm_continuation,Continued CLM replay,replay,10,clm,mendelian_traits,_macro_avg_,protocol_fwd,0.3741245866477405,0.015373926890024278,16100
clm-replay-step0010,clm_continuation,Continued CLM replay,replay,10,clm,mendelian_traits,_macro_avg_,protocol_fwd_rc,0.3928933459089105,0.015539524437425603,16100
clm-replay-step0010,clm_continuation,Continued CLM replay,replay,10,clm,complex_traits,_global_,protocol_fwd,0.12923906505819452,0.004425481945798616,11630
clm-replay-step0010,clm_continuation,Continued CLM replay,replay,10,clm,complex_traits,_global_,protocol_fwd_rc,0.1344460185131935,0.005125930215030656,11630
clm-replay-step0010,clm_continuation,Continued CLM replay,replay,10,clm,sge,accession_consequence_macro,protocol_fwd,0.34687653347156816,0.010534220121976747,8
clm-replay-step0010,clm_continuation,Continued CLM replay,replay,10,clm,sge,accession_consequence_macro,protocol_fwd_rc,0.36140597876786645,0.01109162686986109,8
clm-replay-step0025,clm_continuation,Continued CLM replay,replay,25,clm,mendelian_traits,_macro_avg_,protocol_fwd,0.3757161063837704,0.015713680120631318,16100
