comparison,dataset,score,n_rows,max_abs_error,mean_abs_error,tolerance,passed
source-clm-direct-step0000_vs_original_evaluation,mendelian_traits,fwd,16140,0.039215087890625,1.1385003745090216e-05,0.002,False
source-clm-direct-step0000_vs_original_evaluation,mendelian_traits,rc,16140,0.0965576171875,1.697138577583246e-05,0.002,False
source-clm-direct-step0000_vs_original_evaluation,complex_traits,fwd,11630,6.103515625e-05,2.499397453448182e-07,0.002,True
source-clm-direct-step0000_vs_original_evaluation,complex_traits,rc,11630,6.103515625e-05,2.486277423940919e-07,0.002,True
source-clm-direct-step0000_vs_original_evaluation,sge,fwd,23853,6.103515625e-05,1.1322708814986981e-07,0.002,True
source-clm-direct-step0000_vs_original_evaluation,sge,rc,23853,6.103515625e-05,9.339635198557517e-08,0.002,True
transferred-step0000_vs_original_evaluation,mendelian_traits,fwd,16140,0.0,0.0,0.002,True
transferred-step0000_vs_original_evaluation,mendelian_traits,rc,16140,0.0,0.0,0.002,True
transferred-step0000_vs_original_evaluation,complex_traits,fwd,11630,0.0,0.0,0.002,True
transferred-step0000_vs_original_evaluation,complex_traits,rc,11630,0.0,0.0,0.002,True
transferred-step0000_vs_original_evaluation,sge,fwd,23853,0.0,0.0,0.002,True
transferred-step0000_vs_original_evaluation,sge,rc,23853,0.0,0.0,0.002,True
transferred-step1000_vs_original_evaluation,mendelian_traits,fwd,16140,0.0,0.0,0.002,True
transferred-step1000_vs_original_evaluation,mendelian_traits,rc,16140,0.0,0.0,0.002,True
transferred-step1000_vs_original_evaluation,complex_traits,fwd,11630,0.0,0.0,0.002,True
transferred-step1000_vs_original_evaluation,complex_traits,rc,11630,0.0,0.0,0.002,True
transferred-step1000_vs_original_evaluation,sge,fwd,23853,0.0,0.0,0.002,True
transferred-step1000_vs_original_evaluation,sge,rc,23853,0.0,0.0,0.002,True
scratch-step1000_vs_original_evaluation,mendelian_traits,fwd,16140,0.0,0.0,0.002,True
scratch-step1000_vs_original_evaluation,mendelian_traits,rc,16140,0.0,0.0,0.002,True
scratch-step1000_vs_original_evaluation,complex_traits,fwd,11630,0.0,0.0,0.002,True
scratch-step1000_vs_original_evaluation,complex_traits,rc,11630,0.0,0.0,0.002,True
scratch-step1000_vs_original_evaluation,sge,fwd,23853,0.0,0.0,0.002,True
scratch-step1000_vs_original_evaluation,sge,rc,23853,0.0,0.0,0.002,True
clm-original-step1000_vs_original_evaluation,mendelian_traits,fwd,16140,0.0305633544921875,9.02291685633827e-06,0.002,False
clm-original-step1000_vs_original_evaluation,mendelian_traits,rc,16140,0.03851318359375,1.4082708730711602e-05,0.002,False
clm-original-step1000_vs_original_evaluation,complex_traits,fwd,11630,6.103515625e-05,2.571558468389412e-07,0.002,True
clm-original-step1000_vs_original_evaluation,complex_traits,rc,11630,6.103515625e-05,2.597799095838127e-07,0.002,True
clm-original-step1000_vs_original_evaluation,sge,fwd,23853,6.103515625e-05,1.0746977352482645e-07,0.002,True
clm-original-step1000_vs_original_evaluation,sge,rc,23853,6.103515625e-05,8.955814934097361e-08,0.002,True
