readout,n_targets,nucleotide_ce,nucleotide_accuracy,full_vocab_ce,full_vocab_accuracy,optimizer_step
source_causal_adapter_disabled_step0,640,1.0507701836023897,0.50625,1.0507820621286554,0.50625,0
lora_full_step0000,640,1.3872239653021097,0.3296875,1.3872384893242269,0.3296875,0
lora_full_step0025,640,1.3749842878896743,0.3390625,1.3749981680419296,0.3390625,25
lora_full_step0050,640,1.3411141715943813,0.3453125,1.3411238498985767,0.3453125,50
lora_full_step0100,640,1.31169322906062,0.3828125,1.3117067334242165,0.3828125,100
lora_full_step0200,640,1.2915065507404506,0.4078125,1.2915313482750208,0.4078125,200
lora_full_step0300,640,1.2795131612103432,0.4078125,1.2795448780059815,0.4078125,300
lora_full_step0400,640,1.2766248259693385,0.4203125,1.2766512700822203,0.4203125,400
lora_full_step0500,640,1.2767168154008686,0.4171875,1.2767398563446477,0.4171875,500
lora_full_step0600,640,1.275378098501824,0.4140625,1.275403000274673,0.4140625,600
lora_full_step0700,640,1.2827155655715614,0.4125,1.2827397724613547,0.4125,700
lora_full_step0800,640,1.2756479814881458,0.4234375,1.2756705365376546,0.4234375,800
lora_full_step0900,640,1.2728823214303702,0.4125,1.2729050792753696,0.4125,900
lora_full_step1000,640,1.273889373592101,0.4109375,1.2739101232495158,0.4109375,1000
