dataset,endpoint,auprc,bootstrap_se,n_rows,optimizer_step
mendelian_traits,mendelian_consequence_macro,0.10481635345445944,0.005237900685370436,16140,0
complex_traits,complex_global,0.09887845340373187,0.0026832000686375598,11630,0
sge,accession_consequence_macro,0.142054629574755,0.004149844643450524,23853,0
mendelian_traits,mendelian_consequence_macro,0.11133120057200177,0.006263176029146027,16140,100
complex_traits,complex_global,0.09799206578293583,0.0027666378192819177,11630,100
sge,accession_consequence_macro,0.14015268257365388,0.003887071443465211,23853,100
mendelian_traits,mendelian_consequence_macro,0.11022920799646946,0.006169058750552869,16140,200
complex_traits,complex_global,0.09920530467430405,0.002701691387169821,11630,200
sge,accession_consequence_macro,0.13949012830819338,0.003925186315024991,23853,200
mendelian_traits,mendelian_consequence_macro,0.10991710093134846,0.005848209064914365,16140,300
complex_traits,complex_global,0.09956165098411446,0.0025942178816833333,11630,300
sge,accession_consequence_macro,0.14098639373126168,0.004067933000926406,23853,300
mendelian_traits,mendelian_consequence_macro,0.10877589827389433,0.005609904141087436,16140,400
complex_traits,complex_global,0.10017151177235029,0.0026519701694005925,11630,400
sge,accession_consequence_macro,0.14257742668388607,0.004114782757461793,23853,400
mendelian_traits,mendelian_consequence_macro,0.10618949926558767,0.005210207043824819,16140,500
complex_traits,complex_global,0.1000811590389733,0.0029234078314499105,11630,500
sge,accession_consequence_macro,0.14083303687991267,0.004031910848477977,23853,500
mendelian_traits,mendelian_consequence_macro,0.10652122493630956,0.004971332428094797,16140,600
complex_traits,complex_global,0.10125427896852321,0.0030807112435690598,11630,600
sge,accession_consequence_macro,0.14387723414307255,0.004303911444753794,23853,600
mendelian_traits,mendelian_consequence_macro,0.10580178116251501,0.00518358718980154,16140,700
complex_traits,complex_global,0.10169075491143854,0.0033823514241647945,11630,700
sge,accession_consequence_macro,0.1449285220950044,0.00432019345745925,23853,700
mendelian_traits,mendelian_consequence_macro,0.10644031605772651,0.005090028583385661,16140,800
complex_traits,complex_global,0.10228350555635737,0.0035032529027872166,11630,800
sge,accession_consequence_macro,0.14451713827862192,0.004343961950639657,23853,800
mendelian_traits,mendelian_consequence_macro,0.1056085571295194,0.005233762012391354,16140,900
complex_traits,complex_global,0.10268896065060804,0.0035763395357219147,11630,900
sge,accession_consequence_macro,0.1448580459654236,0.004408603544196105,23853,900
mendelian_traits,mendelian_consequence_macro,0.10796621758529883,0.00568786680360163,16140,1000
complex_traits,complex_global,0.10302298320217157,0.00383239718545252,11630,1000
sge,accession_consequence_macro,0.14571050046935735,0.004511910729105671,23853,1000
