candidate,baseline,n_targets,nucleotide_ce_delta,nucleotide_ce_delta_ci95_low,nucleotide_ce_delta_ci95_high,nucleotide_accuracy_delta,nucleotide_accuracy_delta_ci95_low,nucleotide_accuracy_delta_ci95_high,optimizer_step
gated_full_step0000,source_causal_adapter_disabled_step0,640,0.0,0.0,0.0,0.0,0.0,0.0,0
gated_full_step0025,source_causal_adapter_disabled_step0,640,-2.5653848888396168e-05,-7.678705617763625e-05,3.2112973007087926e-05,0.0015625,0.0,0.0046875,25
gated_full_step0050,source_causal_adapter_disabled_step0,640,-0.00010076397315970099,-0.0003073422749810106,0.0001336917087576238,0.0015625,-0.003125,0.00625,50
gated_full_step0100,source_causal_adapter_disabled_step0,640,-5.572826285060728e-06,-4.5530792773433854e-05,3.88416798352864e-05,0.0015625,0.0,0.0046875,100
gated_full_step0200,source_causal_adapter_disabled_step0,640,0.0005695631007711199,-0.000466816540505306,0.0015038824649593607,0.0046875,0.0,0.0109375,200
gated_full_step0300,source_causal_adapter_disabled_step0,640,0.0011218369476409863,-0.000860572454589601,0.0028903324223233527,0.00625,0.0015625,0.0125,300
gated_full_step0400,source_causal_adapter_disabled_step0,640,0.0017406847231995926,-0.0011098700993932198,0.004226840362721304,0.0015625,-0.00625,0.009375,400
gated_full_step0500,source_causal_adapter_disabled_step0,640,0.0024748485802319918,-0.0011340922714384758,0.005583097307755902,0.0015625,-0.00625,0.009375,500
gated_full_step0600,source_causal_adapter_disabled_step0,640,0.0033661650337762695,-0.0009012602775385403,0.007091421722979016,0.003125,-0.00625,0.0109375,600
gated_full_step0700,source_causal_adapter_disabled_step0,640,0.004510935478947431,-0.000510663822647075,0.008936594030833475,0.009375,0.0,0.01875,700
gated_full_step0800,source_causal_adapter_disabled_step0,640,0.00585548076746818,7.04518403324528e-05,0.010919685789019695,0.00625,-0.003125,0.015625,800
gated_full_step0900,source_causal_adapter_disabled_step0,640,0.006997406311029408,0.0006308705351352727,0.012620581606606717,0.00625,-0.003125,0.0171875,900
gated_full_step1000,source_causal_adapter_disabled_step0,640,0.007423642858202584,0.0008767441951545153,0.013190808623393188,0.00625,-0.003125,0.0171875,1000
