readout,n_targets,nucleotide_ce,nucleotide_accuracy,full_vocab_ce,full_vocab_accuracy,optimizer_step
source_causal_adapter_disabled_step0,640,1.0507893186635102,0.50625,1.0508011968666324,0.50625,0
gated_full_step0000,640,1.0507893186635102,0.50625,1.0508011968666324,0.50625,0
gated_full_step0025,640,1.0507636648146217,0.5078125,1.0507755310869924,0.5078125,25
gated_full_step0050,640,1.0506885546903504,0.5078125,1.0507004018423687,0.5078125,50
gated_full_step0100,640,1.0507837458372251,0.5078125,1.0507956161120091,0.5078125,100
gated_full_step0200,640,1.0513588817642812,0.5109375,1.0513708009543279,0.5109375,200
gated_full_step0300,640,1.0519111556111511,0.5125,1.0519226584970967,0.5125,300
gated_full_step0400,640,1.0525300033867098,0.5078125,1.052540480809057,0.5078125,400
gated_full_step0500,640,1.0532641672437422,0.5078125,1.0532735466450505,0.5078125,500
gated_full_step0600,640,1.0541554836972864,0.509375,1.0541637458834885,0.509375,600
gated_full_step0700,640,1.0553002541424576,0.515625,1.0553074930510775,0.515625,700
gated_full_step0800,640,1.0566447994309782,0.5125,1.0566511228629678,0.5125,800
gated_full_step0900,640,1.0577867249745396,0.5125,1.0577923391134392,0.5125,900
gated_full_step1000,640,1.0582129615217126,0.5125,1.058218404778927,0.5125,1000
