step,scope,n_components,legacy_count_normalized_ce,sequence_balanced_ce,marin_token_weighted_ce,marin_loss
0,all_five,5,0.23138026274886786,0.9014933206140995,0.7690151482041546,0.7690458537635408
25,all_five,5,0.2312401434954475,0.9010041281580925,0.768514318907192,0.7685454526813306
50,all_five,5,0.23111481965756883,0.900813415646553,0.7681924967932487,0.7682241143851184
100,all_five,5,0.23094819938435274,0.9002120651304721,0.7677232445575216,0.7677554656446036
200,all_five,5,0.23129601011089246,0.9012879870831967,0.7690262941761061,0.7690576013640984
300,all_five,5,0.23186573552150352,0.9023110829293728,0.7705031840759322,0.7705344838983799
400,all_five,5,0.23207421218647678,0.9033877469599247,0.7714563810548933,0.7714873350184642
500,all_five,5,0.23272936867732627,0.904345378279686,0.7732812924401216,0.7733122530847607
600,all_five,5,0.23230073610941568,0.9036666095256806,0.7723358363770083,0.772366986716891
700,all_five,5,0.23226162181181068,0.90276193395257,0.7715124672525843,0.7715443386803053
800,all_five,5,0.2329941967421887,0.9045229397714138,0.7737617038472596,0.7737925483275345
900,all_five,5,0.23322929559969435,0.9051133915781975,0.7741805519157113,0.7742116429662593
1000,all_five,5,0.23300363372353944,0.9048836201429367,0.773807462242632,0.7738386505835682
0,source_three,3,0.17569369802287982,0.9565928652882576,0.7646336905425216,0.764665565613564
25,source_three,3,0.17552891899557674,0.9560009986162186,0.7639677060514694,0.7640000134414399
50,source_three,3,0.17549008543974434,0.9559888044993082,0.7638493279283879,0.7638820509120317
100,source_three,3,0.1754708369572957,0.9555118878682455,0.7637081287790751,0.7637413635293214
200,source_three,3,0.17584298701068155,0.9570235932866732,0.7653673447337276,0.7653996870998457
300,source_three,3,0.17588151420643128,0.9567849139372507,0.765581644819504,0.7656139506427851
400,source_three,3,0.17612673332488615,0.958589938779672,0.7669164157448426,0.7669486506986137
500,source_three,3,0.1761595400330288,0.958175373574098,0.7673337541326761,0.7673658248388103
600,source_three,3,0.1763783333348293,0.9587852781017622,0.7680707264339975,0.768102964434747
700,source_three,3,0.1757685530419443,0.9561069334546725,0.7653537491124504,0.7653869708073286
800,source_three,3,0.17636785024131826,0.958230122923851,0.7675627052838769,0.7675946688714576
900,source_three,3,0.17625197289036768,0.958045614262422,0.7670077807593533,0.7670401772060224
1000,source_three,3,0.17635727894851586,0.9586773216724396,0.7675721012399093,0.7676044913315415
