score_type,subset,value,se,n_groups,n_rows,dataset,endpoint,metric,accession,gene,n,n_pos
source_clm_fwd,_macro_avg_,0.37542441798495857,0.015277730887689377,8.0,16100.0,mendelian_traits,mendelian_consequence_macro,,,,,
source_clm_rc,_macro_avg_,0.33920118131058613,0.014515251946053416,8.0,16100.0,mendelian_traits,mendelian_consequence_macro,,,,,
source_clm_avg,_macro_avg_,0.3955230915164218,0.015553059094992112,8.0,16100.0,mendelian_traits,mendelian_consequence_macro,,,,,
source_conditional_left,_macro_avg_,0.26231896561856083,0.011921468375607052,8.0,16100.0,mendelian_traits,mendelian_consequence_macro,,,,,
source_conditional_right,_macro_avg_,0.2552726563494395,0.011848521068910389,8.0,16100.0,mendelian_traits,mendelian_consequence_macro,,,,,
source_conditional_avg,_macro_avg_,0.2854480131046355,0.012564566029818114,8.0,16100.0,mendelian_traits,mendelian_consequence_macro,,,,,
source_two_pass_fwd,_macro_avg_,0.2831910734204929,0.012569227414717776,8.0,16100.0,mendelian_traits,mendelian_consequence_macro,,,,,
source_two_pass_symmetric,_macro_avg_,0.2841325968308048,0.012553700201952945,8.0,16100.0,mendelian_traits,mendelian_consequence_macro,,,,,
source_clm_fwd,_global_,0.1291014903562792,0.004633548511375835,1163.0,11630.0,complex_traits,complex_global,,,,,
source_clm_rc,_global_,0.13144141253596656,0.005032430984008426,1163.0,11630.0,complex_traits,complex_global,,,,,
source_clm_avg,_global_,0.13408310580483554,0.005209334475516539,1163.0,11630.0,complex_traits,complex_global,,,,,
source_conditional_left,_global_,0.12489663041779793,0.0046550921904487995,1163.0,11630.0,complex_traits,complex_global,,,,,
source_conditional_right,_global_,0.12161219237754525,0.004410666801752354,1163.0,11630.0,complex_traits,complex_global,,,,,
source_conditional_avg,_global_,0.1254331635021411,0.004568937558063838,1163.0,11630.0,complex_traits,complex_global,,,,,
source_two_pass_fwd,_global_,0.126109309520964,0.0046513500180740495,1163.0,11630.0,complex_traits,complex_global,,,,,
source_two_pass_symmetric,_global_,0.12588458219499937,0.0045726780309699195,1163.0,11630.0,complex_traits,complex_global,,,,,
source_clm_fwd,_macro_avg_,0.3441458668504084,0.010677148697896903,,,sge,accession_consequence_macro,AUPRC,_macro_avg_,_macro_avg_,8.0,3501.0
source_clm_rc,_macro_avg_,0.3126390775710347,0.010141272310754464,,,sge,accession_consequence_macro,AUPRC,_macro_avg_,_macro_avg_,8.0,3501.0
source_clm_avg,_macro_avg_,0.35762290978049627,0.01096427593874087,,,sge,accession_consequence_macro,AUPRC,_macro_avg_,_macro_avg_,8.0,3501.0
source_conditional_left,_macro_avg_,0.21777053233430663,0.007929979853793928,,,sge,accession_consequence_macro,AUPRC,_macro_avg_,_macro_avg_,8.0,3501.0
source_conditional_right,_macro_avg_,0.2455185544252273,0.009129701738999785,,,sge,accession_consequence_macro,AUPRC,_macro_avg_,_macro_avg_,8.0,3501.0
source_conditional_avg,_macro_avg_,0.25225515061596393,0.009017907146278132,,,sge,accession_consequence_macro,AUPRC,_macro_avg_,_macro_avg_,8.0,3501.0
source_two_pass_fwd,_macro_avg_,0.2463744979068972,0.008733552461039728,,,sge,accession_consequence_macro,AUPRC,_macro_avg_,_macro_avg_,8.0,3501.0
source_two_pass_symmetric,_macro_avg_,0.2533434766362056,0.00905960747941396,,,sge,accession_consequence_macro,AUPRC,_macro_avg_,_macro_avg_,8.0,3501.0
