x_approach	y_approach	subset	label_group	n_variants	pearson_r
untagged	correct	_all_analyzed_	all	16100	0.9700972385908853
untagged	correct	_all_analyzed_	positive	1610	0.9827774072610164
untagged	correct	_all_analyzed_	negative	14490	0.9307169428291626
untagged	correct	tss_proximal	all	2050	0.6691724747475147
untagged	correct	tss_proximal	positive	205	0.8872260638315268
untagged	correct	tss_proximal	negative	1845	0.5348405148181395
untagged	correct	distal	all	580	0.6719718341068077
untagged	correct	distal	positive	58	0.8839347534736939
untagged	correct	distal	negative	522	0.5727623565747045
untagged	correct	3_prime_UTR_variant	all	770	0.9342611333346678
untagged	correct	3_prime_UTR_variant	positive	77	0.9804932979030536
untagged	correct	3_prime_UTR_variant	negative	693	0.7146724854025911
untagged	correct	5_prime_UTR_variant	all	2100	0.8576619606982235
untagged	correct	5_prime_UTR_variant	positive	210	0.9208512403786637
untagged	correct	5_prime_UTR_variant	negative	1890	0.7316124410629363
untagged	correct	non_coding_transcript_exon_variant	all	1150	0.8263821235795915
untagged	correct	non_coding_transcript_exon_variant	positive	115	0.8735639883882854
untagged	correct	non_coding_transcript_exon_variant	negative	1035	0.8192780622731172
untagged	correct	splicing	all	3190	0.9721012132514572
untagged	correct	splicing	positive	319	0.9777598980690645
untagged	correct	splicing	negative	2871	0.8808198395190303
untagged	correct	missense_variant	all	5800	0.980724336085037
untagged	correct	missense_variant	positive	580	0.9907257402212655
untagged	correct	missense_variant	negative	5220	0.9592423790358638
untagged	correct	synonymous_variant	all	460	0.9625888718011796
untagged	correct	synonymous_variant	positive	46	0.9867249344803655
untagged	correct	synonymous_variant	negative	414	0.6323353856563931
untagged	far_wrong	_all_analyzed_	all	16100	0.9805249154458676
untagged	far_wrong	_all_analyzed_	positive	1610	0.9934954423332284
untagged	far_wrong	_all_analyzed_	negative	14490	0.944463514598792
untagged	far_wrong	tss_proximal	all	2050	0.6585852973368437
untagged	far_wrong	tss_proximal	positive	205	0.9057385635778695
untagged	far_wrong	tss_proximal	negative	1845	0.5159620431232044
untagged	far_wrong	distal	all	580	0.7154812900578874
untagged	far_wrong	distal	positive	58	0.9066937795599782
untagged	far_wrong	distal	negative	522	0.6135166303805519
untagged	far_wrong	3_prime_UTR_variant	all	770	0.9461237457153711
untagged	far_wrong	3_prime_UTR_variant	positive	77	0.9931398477939148
untagged	far_wrong	3_prime_UTR_variant	negative	693	0.747139350087129
untagged	far_wrong	5_prime_UTR_variant	all	2100	0.8813267927732121
untagged	far_wrong	5_prime_UTR_variant	positive	210	0.9699361498428113
untagged	far_wrong	5_prime_UTR_variant	negative	1890	0.7341111138087186
untagged	far_wrong	non_coding_transcript_exon_variant	all	1150	0.8369080816786251
untagged	far_wrong	non_coding_transcript_exon_variant	positive	115	0.8811124662812723
untagged	far_wrong	non_coding_transcript_exon_variant	negative	1035	0.8301035131707378
untagged	far_wrong	splicing	all	3190	0.98529767770791
untagged	far_wrong	splicing	positive	319	0.9910608804699245
untagged	far_wrong	splicing	negative	2871	0.9149164026617909
untagged	far_wrong	missense_variant	all	5800	0.9867836168073961
untagged	far_wrong	missense_variant	positive	580	0.9958016744589913
untagged	far_wrong	missense_variant	negative	5220	0.9694623445930017
untagged	far_wrong	synonymous_variant	all	460	0.9721977377808102
untagged	far_wrong	synonymous_variant	positive	46	0.9936951689437091
untagged	far_wrong	synonymous_variant	negative	414	0.6764007497989353
correct	far_wrong	_all_analyzed_	all	16100	0.9740537381999465
correct	far_wrong	_all_analyzed_	positive	1610	0.9878597814810968
correct	far_wrong	_all_analyzed_	negative	14490	0.9345527680161422
correct	far_wrong	tss_proximal	all	2050	0.660992857040132
correct	far_wrong	tss_proximal	positive	205	0.8892768711753261
correct	far_wrong	tss_proximal	negative	1845	0.5297574029695262
correct	far_wrong	distal	all	580	0.6593915795855605
correct	far_wrong	distal	positive	58	0.890103895298381
correct	far_wrong	distal	negative	522	0.5424003366385117
correct	far_wrong	3_prime_UTR_variant	all	770	0.9433421237489318
correct	far_wrong	3_prime_UTR_variant	positive	77	0.9855136532992614
correct	far_wrong	3_prime_UTR_variant	negative	693	0.7433874069201023
correct	far_wrong	5_prime_UTR_variant	all	2100	0.8653553886987961
correct	far_wrong	5_prime_UTR_variant	positive	210	0.9309009691249515
correct	far_wrong	5_prime_UTR_variant	negative	1890	0.7359415160449967
correct	far_wrong	non_coding_transcript_exon_variant	all	1150	0.8382437530097281
correct	far_wrong	non_coding_transcript_exon_variant	positive	115	0.8703216144338163
correct	far_wrong	non_coding_transcript_exon_variant	negative	1035	0.8333726675640576
correct	far_wrong	splicing	all	3190	0.979133593382708
correct	far_wrong	splicing	positive	319	0.9879436965608871
correct	far_wrong	splicing	negative	2871	0.8886802295208789
correct	far_wrong	missense_variant	all	5800	0.9822257915677873
correct	far_wrong	missense_variant	positive	580	0.9916941428077817
correct	far_wrong	missense_variant	negative	5220	0.9623923870985274
correct	far_wrong	synonymous_variant	all	460	0.9671073119373833
correct	far_wrong	synonymous_variant	positive	46	0.9934773810460164
correct	far_wrong	synonymous_variant	negative	414	0.6162854481570609
