region,group,n_positions,group_frequency_within_region,group_frequency_ci_low,group_frequency_ci_high,region_fraction_within_group,region_enrichment_log2,conservation_prevalence,conservation_ci_low,conservation_ci_high,mean_window_gc,mean_kmer7_nll,mean_window_repeat_fraction,fraction_with_repeat_within_10bp,fraction_with_repeat_within_50bp
cds,high_to_high,1319777,0.46628968548392796,0.46177049887795546,0.47088071990054875,0.22303683856079753,0.14192246699467734,0.3579589582179414,0.35041999140104463,0.3654278244054934,0.4879768582913332,1.4107134066714,0.09389402936417052,0.07234631305137156,0.2962682331939411
cds,low_to_high,435866,0.15399557656569082,0.1525066097356305,0.15549211655267386,0.21223098999188794,0.07027578415352598,0.3593329142442861,0.35177918346846965,0.3671127773797271,0.4884131017392361,1.2692933149458119,0.09617285686741466,0.07670706134454167,0.3032399866013867
cds,high_to_low,255397,0.09023417350320452,0.0878691765176002,0.09276447102087218,0.1829238507856722,-0.14411635477579898,0.7603613198275626,0.7510810033006374,0.7690024984838061,0.49660982126507874,1.3819030662758942,0.08275291823640657,0.039178220574243236,0.23030810855256717
cds,low_to_low,819340,0.2894805644471767,0.28313442624719193,0.29563849848751034,0.17678001208250627,-0.19340438665927093,0.5654807528010349,0.5529228475215671,0.5773897178118014,0.5296913120098224,1.2574893644989042,0.0790384848254238,0.05729611638635975,0.2435252764420143
upstream,high_to_high,1402682,0.5206254117603393,0.515562099758748,0.5261036929790726,0.23704743967059327,0.3009416814603681,0.11857926458028263,0.11384072620807248,0.12328914480402921,0.5553600993269101,1.4450226311781367,0.09418727837100639,0.07435826509501084,0.29277198965980883
upstream,low_to_high,476135,0.17672428991639524,0.17528745446017602,0.1782071821808324,0.2318386899179738,0.268887218339249,0.14935469982252933,0.14344489608360256,0.15540393532851232,0.5659901362643214,1.235937886031569,0.0936882582114934,0.07347916032217754,0.29180589538681256
upstream,high_to_low,109176,0.040522228098989505,0.038792234335527885,0.04230736720049935,0.07819549302997508,-1.29907676713561,0.47365721403971567,0.46080904800761563,0.4859466033999459,0.6091974344378323,1.3836656499425029,0.08347015145180224,0.06331061771817982,0.27416281966732614
upstream,low_to_low,706232,0.262128070224276,0.2561008912586298,0.26753931717635215,0.15237593855182532,-0.3365990221812017,0.33934740991628815,0.32632037362743105,0.3522195391372768,0.6449111318974783,1.1529301274808588,0.07785346436176392,0.06539777296978896,0.26036061804053057
downstream,high_to_high,1320575,0.5118374832901627,0.5064744265047784,0.5171539686781444,0.22317169725069097,0.27638175379884067,0.08810858906158302,0.08383168906239719,0.09253325359318453,0.47058396083957066,1.4125130428649169,0.12035581351409239,0.09885466558128088,0.36535675747307045
downstream,low_to_high,447479,0.17343696888491655,0.17166793044936557,0.17521411321397617,0.21788556843291293,0.24179832162264966,0.09810516247689836,0.09337831187812955,0.10284579242178478,0.46643723828629285,1.2417180585036265,0.12468130720473289,0.10333892763682764,0.38032622759950746
downstream,high_to_low,209093,0.0810416938784923,0.07722221370961224,0.08490715004836574,0.14975938140357387,-0.2991259407957078,0.3324979793680324,0.32062310081347123,0.3445533960691519,0.4587097552869864,1.3719961620667673,0.1266905625913903,0.10644067472368754,0.3946186625090271
downstream,low_to_low,602920,0.23368385394642852,0.22877291959727253,0.23832161310959013,0.1300854405799603,-0.5023128198367635,0.34313673455848204,0.32801459050151427,0.3583512555959518,0.47790699768990647,1.2457960478714811,0.12904416155103982,0.11149737942015524,0.40117262655078617
ncrna,high_to_high,723946,0.24302990934375351,0.23350950618266358,0.2523799794944156,0.1223438710696846,-0.7981701748643484,0.2960151724023615,0.2905950279104507,0.3015526371789239,0.5005054580422645,1.4166035587715313,0.03472689952012995,0.023581869365947184,0.09884300762764074
ncrna,low_to_high,282754,0.09492100099535557,0.09171578228921812,0.09797822227503604,0.1376780050386272,-0.6278139070215214,0.3278432842683039,0.322067270080951,0.3336272196996033,0.49397734675571153,1.278299013481712,0.034038803493981536,0.019918374275872314,0.09536204616026653
ncrna,high_to_low,314314,0.10551574692790974,0.10339801459584558,0.10769563925261733,0.22512217150494238,0.08159614490141202,0.36910859840796145,0.3597618015807023,0.378572346250376,0.4907595725515052,1.3851176448062972,0.034079783086901856,0.018246085125066015,0.08858657266300578
ncrna,low_to_low,1657821,0.5565333427329812,0.5443586400677765,0.5695442360236603,0.3576898679554673,0.749597247704415,0.515343333206661,0.5093425703272205,0.5210558181267421,0.49027981857771546,1.306083747535161,0.03303808988768164,0.0154117965691109,0.08595439435258692
enhancer,high_to_high,1150325,0.39414601553867107,0.38831474207202976,0.3999721940709527,0.1944001534482336,-0.10057385977687096,0.28019298893790884,0.27776635107146813,0.2826467799690907,0.43576852027074464,1.4144425931264029,0.03716801943866674,0.02383326451220307,0.10128963553778281
enhancer,low_to_high,411500,0.14099587976803352,0.13941785717901625,0.14264653263956106,0.20036674661859813,-0.05696012248687885,0.35615552855407046,0.3515108532397666,0.3608153236855824,0.432344431385235,1.2275367716122079,0.036192590474829055,0.02028918590522479,0.09679465370595383
enhancer,high_to_low,508213,0.17413350922126758,0.17146648055192415,0.1768127838240789,0.3639991032758365,0.8043316787990694,0.5322768209392519,0.5273808800563017,0.5367624498001384,0.4267442454473065,1.365124042419076,0.0284733477699234,0.013592725884619244,0.07661944893184551
enhancer,low_to_low,848487,0.29072459547202784,0.2846818352516659,0.29650698314200025,0.1830687408302408,-0.1872177469511871,0.6174826485261412,0.6093765882466622,0.625341792440373,0.4345592230373713,1.2391322982156605,0.030287799249214927,0.01501849763166672,0.08225936284232993
