experiment,subset,home_arm,home_auprc,home_se,best_nonhome_arm,best_nonhome_auprc,home_margin,row_winner,home_wins,train_rows,sequence_presentations,effective_epochs
exp232,Missense,CDS,0.309471412647509,0.016867314700097627,ncRNA exon,0.143558609268097,0.165912803379412,CDS,True,57591204,40960000,0.711220
exp232,Synonymous,CDS,0.2806377227160637,0.06050042971028789,Enhancer,0.17865434978635034,0.10198337292971335,CDS,True,57591204,40960000,0.711220
exp232,Splicing,CDS,0.39521747539758484,0.026443207137127334,Enhancer,0.23800519686273566,0.15721227853484918,CDS,True,57591204,40960000,0.711220
exp232,3′ UTR,3′ UTR,0.21693305715369388,0.034839400996803965,ncRNA exon,0.12665328331840292,0.09027977383529096,3′ UTR,True,12586492,40960000,3.254282
exp232,ncRNA,ncRNA exon,0.36625702192830456,0.03772485935572401,TSS / 5′ UTR,0.18251367859252315,0.1837433433357814,ncRNA exon,True,16319886,40960000,2.509821
exp232,5′ UTR,TSS / 5′ UTR,0.2889543178907063,0.031647731796275995,ncRNA exon,0.20004714465152318,0.08890717323918312,TSS / 5′ UTR,True,11281780,40960000,3.630633
exp232,Promoter,TSS / 5′ UTR,0.2587434707701904,0.02838811727241263,Enhancer,0.10350143651205054,0.15524203425813984,TSS / 5′ UTR,True,11281780,40960000,3.630633
exp232,Distal,Enhancer,0.12677764296173202,0.02544359451209384,3′ UTR,0.1219606510795807,0.004816991882151317,Enhancer,True,88030162,40960000,0.465295
annotation_first,Missense,CDS,0.3094347850990349,0.017720896305452854,ncRNA exon,0.10920776817213433,0.20022701692690054,CDS,True,46882278,40960000,0.873678
annotation_first,Synonymous,CDS,0.15356598614700814,0.03846790685784338,Enhancer,0.17611601034429092,-0.022550024197282775,Enhancer,False,46882278,40960000,0.873678
annotation_first,Splicing,CDS,0.25526153060256157,0.020016169351164133,TSS / 5′ UTR,0.11357693614332418,0.1416845944592374,CDS,True,46882278,40960000,0.873678
annotation_first,3′ UTR,3′ UTR,0.15698668582646225,0.025668846003042013,CDS,0.131910545942461,0.02507613988400126,3′ UTR,True,11364040,40960000,3.604352
annotation_first,ncRNA,ncRNA exon,0.5516023145830482,0.04059972624927833,TSS / 5′ UTR,0.18491874000864456,0.36668357457440365,ncRNA exon,True,6209692,40960000,6.596140
annotation_first,5′ UTR,TSS / 5′ UTR,0.1891211556284378,0.020173686892400965,ncRNA exon,0.2683082523858469,-0.07918709675740909,ncRNA exon,False,7577794,40960000,5.405267
annotation_first,Promoter,TSS / 5′ UTR,0.23470575685613895,0.02447538157394839,ncRNA exon,0.09892184177405206,0.1357839150820869,TSS / 5′ UTR,True,7577794,40960000,5.405267
annotation_first,Distal,Enhancer,0.3226898250028363,0.055261174678213155,3′ UTR,0.11552048974883725,0.20716933525399903,Enhancer,True,25364652,40960000,1.614846
gpn_uniform,Missense,CDS,0.3389220647299777,0.017341192580630094,ncRNA exon,0.1438147290833408,0.1951073356466369,CDS,True,71002636,40960000,0.576880
gpn_uniform,Synonymous,CDS,0.29904825076110786,0.06086204860965411,ncRNA exon,0.19696472991166325,0.10208352084944461,CDS,True,71002636,40960000,0.576880
gpn_uniform,Splicing,CDS,0.4003697103489335,0.027567778762089573,Background,0.24445971419207146,0.15590999615686202,CDS,True,71002636,40960000,0.576880
gpn_uniform,3′ UTR,3′ UTR,0.18517057438088494,0.03540853907785126,CDS,0.12152403672319247,0.06364653765769247,3′ UTR,True,20538748,40960000,1.994279
gpn_uniform,ncRNA,ncRNA exon,0.38378013175067066,0.03497200974897518,TSS / 5′ UTR,0.1763831500194129,0.20739698173125776,ncRNA exon,True,20026822,40960000,2.045257
gpn_uniform,5′ UTR,TSS / 5′ UTR,0.24923867252836504,0.023098863568063472,3′ UTR,0.12090436134828862,0.12833431118007643,TSS / 5′ UTR,True,14650866,40960000,2.795739
gpn_uniform,Promoter,TSS / 5′ UTR,0.2600475124181255,0.02671652055106651,ncRNA exon,0.10070371154205641,0.15934380087606909,TSS / 5′ UTR,True,14650866,40960000,2.795739
gpn_uniform,Distal,Enhancer,0.11891454986765719,0.01813306268890533,ncRNA exon,0.13764361397292085,-0.018729064105263662,ncRNA exon,False,131467840,40960000,0.311559
phylop_uniform,Missense,CDS,0.33185172047328365,0.017587146430101088,ncRNA exon,0.15785043773298513,0.17400128274029852,CDS,True,69483774,40960000,0.589490
phylop_uniform,Synonymous,CDS,0.2965874743007192,0.0601801176692816,Background,0.17608729484843771,0.12050017945228148,CDS,True,69483774,40960000,0.589490
phylop_uniform,Splicing,CDS,0.37153828149683066,0.026457316223863582,Background,0.2302257626306407,0.14131251886618995,CDS,True,69483774,40960000,0.589490
phylop_uniform,3′ UTR,3′ UTR,0.20277598793353413,0.03374094095527937,Background,0.13513921073948912,0.06763677719404501,3′ UTR,True,14496656,40960000,2.825479
phylop_uniform,ncRNA,ncRNA exon,0.3305311832690447,0.03494327042342853,TSS / 5′ UTR,0.18545375354905388,0.1450774297199908,ncRNA exon,True,20790530,40960000,1.970128
phylop_uniform,5′ UTR,TSS / 5′ UTR,0.27154123185963713,0.029945271177774475,ncRNA exon,0.12243477824609153,0.1491064536135456,TSS / 5′ UTR,True,11580082,40960000,3.537108
phylop_uniform,Promoter,TSS / 5′ UTR,0.24042545472007668,0.026561269064575004,ncRNA exon,0.10666996596011691,0.13375548875995977,TSS / 5′ UTR,True,11580082,40960000,3.537108
phylop_uniform,Distal,Enhancer,0.1349837052113969,0.021589578207611215,3′ UTR,0.12239560111175043,0.012588104099646474,Enhancer,True,79725424,40960000,0.513763
