experiment,experiment_title,model,arm,subset,value,se,n_groups,n_rows
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_cds-step-4999,CDS,Missense,0.309471412647509,0.016867314700097627,580,5800
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_cds-step-4999,CDS,Synonymous,0.2806377227160637,0.06050042971028789,46,460
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_cds-step-4999,CDS,Splicing,0.39521747539758484,0.026443207137127334,319,3190
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_cds-step-4999,CDS,3′ UTR,0.12474925266868922,0.02201387737122693,77,770
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_cds-step-4999,CDS,ncRNA,0.11142821029871126,0.007674170409763633,115,1150
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_cds-step-4999,CDS,5′ UTR,0.12463148227947352,0.011215271795244003,210,2100
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_cds-step-4999,CDS,Promoter,0.09089744491021504,0.006027471020620604,205,2050
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_cds-step-4999,CDS,Distal,0.11648595346085866,0.018955269234232526,58,580
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_utr3-step-4999,3′ UTR,Missense,0.10724137271586967,0.006469001610507097,580,5800
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_utr3-step-4999,3′ UTR,Synonymous,0.16574715941898477,0.037081752552559306,46,460
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_utr3-step-4999,3′ UTR,Splicing,0.09353225063218328,0.004205308555885339,319,3190
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_utr3-step-4999,3′ UTR,3′ UTR,0.21693305715369388,0.034839400996803965,77,770
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_utr3-step-4999,3′ UTR,ncRNA,0.10864631924767432,0.008453690563375658,115,1150
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_utr3-step-4999,3′ UTR,5′ UTR,0.1230945972686667,0.010426615251625342,210,2100
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_utr3-step-4999,3′ UTR,Promoter,0.09429344285028057,0.00509453007171082,205,2050
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_utr3-step-4999,3′ UTR,Distal,0.1219606510795807,0.02648772510788849,58,580
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_ncrna_exon-step-4999,ncRNA exon,Missense,0.143558609268097,0.009011577436611755,580,5800
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_ncrna_exon-step-4999,ncRNA exon,Synonymous,0.17636877658126687,0.03998931228052454,46,460
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_ncrna_exon-step-4999,ncRNA exon,Splicing,0.1557180344984093,0.015327287403827366,319,3190
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_ncrna_exon-step-4999,ncRNA exon,3′ UTR,0.12665328331840292,0.01957886340070032,77,770
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_ncrna_exon-step-4999,ncRNA exon,ncRNA,0.36625702192830456,0.03772485935572401,115,1150
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_ncrna_exon-step-4999,ncRNA exon,5′ UTR,0.20004714465152318,0.024841463174450473,210,2100
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_ncrna_exon-step-4999,ncRNA exon,Promoter,0.09540359644530036,0.008501118907195123,205,2050
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_ncrna_exon-step-4999,ncRNA exon,Distal,0.11698850737356542,0.020981548796352518,58,580
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_tss_region_and_utr5-step-4999,TSS / 5′ UTR,Missense,0.1169979278098835,0.0065581205381606954,580,5800
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_tss_region_and_utr5-step-4999,TSS / 5′ UTR,Synonymous,0.1483534923691927,0.0297191061651106,46,460
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_tss_region_and_utr5-step-4999,TSS / 5′ UTR,Splicing,0.14620280542239444,0.014490653517845833,319,3190
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_tss_region_and_utr5-step-4999,TSS / 5′ UTR,3′ UTR,0.10354707947838748,0.010364056993027037,77,770
exp232,"#232 uniform grid / phyloP, full-window projection",exp232-v4_tss_region_and_utr5-step-4999,TSS / 5′ UTR,ncRNA,0.18251367859252315,0.02551299574777805,115,1150
