arm,subset,value,se,n_groups,n_rows
CDS,Missense,0.33185172047328365,0.017587146430101088,580,5800
CDS,Synonymous,0.2965874743007192,0.0601801176692816,46,460
CDS,Splicing,0.37153828149683066,0.026457316223863582,319,3190
CDS,3′ UTR,0.12747067882576868,0.022777441922899416,77,770
CDS,ncRNA,0.1024686927308536,0.006613670258477217,115,1150
CDS,5′ UTR,0.10946296598982701,0.008237024053689103,210,2100
CDS,Promoter,0.09430480524440484,0.005297218388890673,205,2050
CDS,Distal,0.11478908201750261,0.01759097827912399,58,580
3′ UTR,Missense,0.11147251525092369,0.006732876088042404,580,5800
3′ UTR,Synonymous,0.12434725071355485,0.02750203512523031,46,460
3′ UTR,Splicing,0.09965200477289567,0.005297919923167096,319,3190
3′ UTR,3′ UTR,0.20277598793353413,0.03374094095527937,77,770
3′ UTR,ncRNA,0.10512130962629282,0.009992878930495172,115,1150
3′ UTR,5′ UTR,0.12167020033366414,0.009816686328466395,210,2100
3′ UTR,Promoter,0.0915240765177257,0.006227776319955342,205,2050
3′ UTR,Distal,0.12239560111175043,0.023437547397736767,58,580
ncRNA exon,Missense,0.15785043773298513,0.011493101952309688,580,5800
ncRNA exon,Synonymous,0.15706715096016477,0.03303966882678322,46,460
ncRNA exon,Splicing,0.2061473533666246,0.019249662308713247,319,3190
ncRNA exon,3′ UTR,0.11496648419725847,0.020945047974061496,77,770
ncRNA exon,ncRNA,0.3305311832690447,0.03494327042342853,115,1150
ncRNA exon,5′ UTR,0.12243477824609153,0.008776205293990244,210,2100
ncRNA exon,Promoter,0.10666996596011691,0.01029038754576844,205,2050
ncRNA exon,Distal,0.10814258141502138,0.01628759641292715,58,580
TSS / 5′ UTR,Missense,0.12003451764560405,0.0073973700000562375,580,5800
TSS / 5′ UTR,Synonymous,0.16856754431993556,0.034204066479866756,46,460
TSS / 5′ UTR,Splicing,0.15481817064688927,0.014426868959271191,319,3190
TSS / 5′ UTR,3′ UTR,0.1341286763518754,0.024093577274370975,77,770
TSS / 5′ UTR,ncRNA,0.18545375354905388,0.024547509333390494,115,1150
TSS / 5′ UTR,5′ UTR,0.27154123185963713,0.029945271177774475,210,2100
TSS / 5′ UTR,Promoter,0.24042545472007668,0.026561269064575004,205,2050
TSS / 5′ UTR,Distal,0.10325713105436446,0.01944438483724982,58,580
Enhancer A,Missense,0.10253456956590304,0.004165246227094462,580,5800
Enhancer A,Synonymous,0.15906571773593342,0.03469481919009084,46,460
Enhancer A,Splicing,0.0939999756777607,0.005307400251739743,319,3190
Enhancer A,3′ UTR,0.10744842677911062,0.012740268348147808,77,770
Enhancer A,ncRNA,0.1077236779166419,0.007682188023253832,115,1150
Enhancer A,5′ UTR,0.11210157993249711,0.010540498190082933,210,2100
Enhancer A,Promoter,0.09712136303938018,0.006117126378068217,205,2050
Enhancer A,Distal,0.1349837052113969,0.021589578207611215,58,580
Background,Missense,0.14212135258403552,0.01088761391768303,580,5800
Background,Synonymous,0.17608729484843771,0.04339232166287819,46,460
Background,Splicing,0.2302257626306407,0.020765832680652206,319,3190
Background,3′ UTR,0.13513921073948912,0.02151146679777135,77,770
Background,ncRNA,0.11732792123310559,0.012262429568091456,115,1150
Background,5′ UTR,0.1156654522884508,0.0106282395924879,210,2100
Background,Promoter,0.09083408302184812,0.005494395051641555,205,2050
Background,Distal,0.11387077532703718,0.020520048405237985,58,580
