baseline_family,benchmark,arm,subset,current,current_se,baseline,baseline_se,delta,paired_ci_low,paired_ci_high,p_two_sided,comparison_kind,verdict
#232 uniform-grid v4,Mendelian Traits,CDS,Missense,0.3389220647299777,0.017341192580630094,0.309471412647509,0.016867314700097627,0.02945065208246872,0.009980672471786675,0.04856265246883521,0.002,paired match-group bootstrap,improvement
#232 uniform-grid v4,Mendelian Traits,CDS,Splicing,0.4003697103489335,0.027567778762089573,0.39521747539758484,0.026443207137127334,0.005152234951348644,-0.02691807217796284,0.038958788492698355,0.716,paired match-group bootstrap,inconclusive
#232 uniform-grid v4,Mendelian Traits,CDS,Synonymous,0.29904825076110786,0.06086204860965411,0.2806377227160637,0.06050042971028789,0.018410528045044172,-0.06524887392767265,0.08559465551851594,0.684,paired match-group bootstrap,inconclusive
#232 uniform-grid v4,Mendelian Traits,3′ UTR,3′ UTR,0.18517057438088494,0.03540853907785126,0.21693305715369388,0.034839400996803965,-0.031762482772808937,-0.07514998613953851,0.02735163039092425,0.348,paired match-group bootstrap,inconclusive
#232 uniform-grid v4,Mendelian Traits,ncRNA exon,ncRNA,0.38378013175067066,0.03497200974897518,0.36625702192830456,0.03772485935572401,0.0175231098223661,-0.030657741562335666,0.06037811143215063,0.464,paired match-group bootstrap,inconclusive
#232 uniform-grid v4,Mendelian Traits,TSS / 5′ UTR,5′ UTR,0.24923867252836504,0.023098863568063472,0.2889543178907063,0.031647731796275995,-0.03971564536234126,-0.07432625444292609,-0.009664125550089789,0.01,paired match-group bootstrap,regression
#232 uniform-grid v4,Mendelian Traits,TSS / 5′ UTR,Promoter,0.2600475124181255,0.02671652055106651,0.2587434707701904,0.02838811727241263,0.001304041647935128,-0.02854500138069147,0.02769322765662604,0.97,paired match-group bootstrap,inconclusive
#232 uniform-grid v4,Mendelian Traits,Enhancer A,Distal,0.11891454986765719,0.01813306268890533,0.12677764296173202,0.02544359451209384,-0.007863093094074833,-0.04348089302517452,0.012039571361156652,0.508,paired match-group bootstrap,inconclusive
Earlier #517 annotation-first,Mendelian Traits,CDS,Missense,0.3389220647299777,0.017341192580630094,0.3094347850990349,0.017720896305452854,0.02948727963094283,0.0031299619203803025,0.057423284504012184,0.03,paired match-group bootstrap,improvement
Earlier #517 annotation-first,Mendelian Traits,CDS,Splicing,0.4003697103489335,0.027567778762089573,0.25526153060256157,0.020016169351164133,0.1451081797463719,0.09693444193253822,0.19347450817848738,0.001,paired match-group bootstrap,improvement
Earlier #517 annotation-first,Mendelian Traits,CDS,Synonymous,0.29904825076110786,0.06086204860965411,0.15356598614700814,0.03846790685784338,0.14548226461409972,0.05463246053631831,0.2262128612108443,0.001,paired match-group bootstrap,improvement
Earlier #517 annotation-first,Mendelian Traits,3′ UTR,3′ UTR,0.18517057438088494,0.03540853907785126,0.15698668582646225,0.025668846003042013,0.028183888554422692,-0.023493548028537873,0.09273362877731067,0.28,paired match-group bootstrap,inconclusive
Earlier #517 annotation-first,Mendelian Traits,ncRNA exon,ncRNA,0.38378013175067066,0.03497200974897518,0.5516023145830482,0.04059972624927833,-0.16782218283237754,-0.2430719357679315,-0.0948880053298108,0.001,paired match-group bootstrap,regression
Earlier #517 annotation-first,Mendelian Traits,TSS / 5′ UTR,5′ UTR,0.24923867252836504,0.023098863568063472,0.1891211556284378,0.020173686892400965,0.060117516899927254,0.03872664049693951,0.08855460653468088,0.001,paired match-group bootstrap,improvement
Earlier #517 annotation-first,Mendelian Traits,TSS / 5′ UTR,Promoter,0.2600475124181255,0.02671652055106651,0.23470575685613895,0.02447538157394839,0.025341755561986562,-0.004837329169198604,0.0600267494261909,0.118,paired match-group bootstrap,inconclusive
Earlier #517 annotation-first,Mendelian Traits,Enhancer A,Distal,0.11891454986765719,0.01813306268890533,0.3226898250028363,0.055261174678213155,-0.20377527513517907,-0.30740210983935784,-0.09898598289400201,0.001,paired match-group bootstrap,regression
#473 CDS full-window,Mendelian Traits,CDS,Missense,0.3389220647299777,0.017341192580630094,0.32391115680181426,0.016968614649744997,0.015010907928163453,,,,point estimate with marginal SE only,point higher
#473 CDS full-window,Mendelian Traits,CDS,Splicing,0.4003697103489335,0.027567778762089573,0.3663974912174667,0.023817394376849616,0.03397221913146681,,,,point estimate with marginal SE only,point higher
#473 CDS full-window,Mendelian Traits,CDS,Synonymous,0.29904825076110786,0.06086204860965411,0.34488080008571903,0.05972772836768249,-0.04583254932461117,,,,point estimate with marginal SE only,point lower
#473 CDS full-window,Complex Traits,CDS,Missense,0.15906413621055931,0.014822355951278381,0.1758640193536753,0.0154534849378418,-0.01679988314311598,,,,point estimate with marginal SE only,point lower
#473 CDS full-window,SGE,CDS,Missense,0.2641268757879291,0.007689391490118211,0.2624214452160505,0.0076514326972410346,0.0017054305718786078,,,,point estimate with marginal SE only,point higher
#473 CDS full-window,SGE,CDS,Splicing,0.453918400395537,0.021288646051617528,0.5009053299671006,0.021779045212742484,-0.046986929571563585,,,,point estimate with marginal SE only,point lower
#326 Arm A no-exon uniform tile,Mendelian Traits,Enhancer A,Distal,0.118915,0.018133,0.299,,-0.180085,,,,cross-issue point reference; prior online lm_eval,point regression signal
#351 tiled order,Mendelian Traits,Enhancer A,Distal,0.118915,0.018133,0.308,,-0.189085,,,,cross-issue point reference; prior online lm_eval,point regression signal
#351 centered order,Mendelian Traits,Enhancer A,Distal,0.118915,0.018133,0.366,,-0.247085,,,,cross-issue point reference; prior online lm_eval,point regression signal
