choice,feature,eligible_bins,selected_bins,eligible_conserved_fraction,selected_conserved_fraction
primary,gene_body,566750,32224,0.06495906484340538,0.4282829568023833
primary,TSS_plus_minus_1kb,70864,6788,0.09690985549785505,0.4481761932822629
primary,exon,59901,12173,0.191811822841021,0.5259746981023576
primary,CDS,13544,7233,0.47068222090962786,0.5894414489146965
primary,five_prime_utr,4915,883,0.16913123092573754,0.4887768969422424
primary,three_prime_utr,17299,3820,0.20607780796577838,0.5448743455497382
primary,cCRE_dELS,120874,12214,0.0918451445306683,0.43152611757000164
primary,cCRE_CA-H3K4me3,7300,726,0.09755890410958905,0.46972451790633607
primary,cCRE_CA,23014,1979,0.08068219344746677,0.4131076301162203
primary,cCRE_TF,4787,193,0.05324420304992689,0.4393782383419688
primary,cCRE_CA-CTCF,10359,934,0.08209383145091226,0.4127730192719486
primary,cCRE_pELS,16936,1790,0.10124999999999999,0.4527374301675978
primary,cCRE_PLS,4362,803,0.1753484640073361,0.47420921544209216
primary,cCRE_CA-TF,1846,169,0.0864842903575298,0.4351479289940828
baseline,gene_body,566750,31628,0.06495906484340538,0.37362052611609964
baseline,TSS_plus_minus_1kb,70864,6402,0.09690985549785505,0.4100921587004061
baseline,exon,59901,10923,0.191811822841021,0.5122777625194543
baseline,CDS,13544,6274,0.47068222090962786,0.5922107108702581
baseline,five_prime_utr,4915,779,0.16913123092573754,0.4720539152759949
baseline,three_prime_utr,17299,3378,0.20607780796577838,0.5388543516873889
baseline,cCRE_dELS,120874,10851,0.0918451445306683,0.4105925721131693
baseline,cCRE_CA-H3K4me3,7300,639,0.09755890410958905,0.46414710485133026
baseline,cCRE_CA,23014,1755,0.08068219344746677,0.3913390313390313
baseline,cCRE_TF,4787,198,0.05324420304992689,0.3465151515151516
baseline,cCRE_CA-CTCF,10359,834,0.08209383145091226,0.38689448441247
baseline,cCRE_pELS,16936,1642,0.10124999999999999,0.41843483556638245
baseline,cCRE_PLS,4362,707,0.1753484640073361,0.46431400282885427
baseline,cCRE_CA-TF,1846,157,0.0864842903575298,0.41127388535031845
