name	assembly	sequence	format	sha256	chrom_sizes	chrom_sizes_sha256	origin
Microgale_talazaci	GCA_004026705.1	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/genomes/Microgale_talazaci.2bit	twobit	2b6e6ece1ed897283b34e9bc7bc27a00d3870a1585561f138320d814ccad9aab	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/chrom_sizes/Microgale_talazaci.tsv	04f17441ba1fc6f6ab92bb35c865cadb3d4bbbd12675a8fa30f51b5caf06de62	direction_matched_no_dupes_psl_swap
Bos_taurus	GCF_000003205.7	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/genomes/Bos_taurus.2bit	twobit	6f37ca66c0c1796a8aa2078eab084ffa81fca7bafed84a1c03d5a5445d39a2b2	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/chrom_sizes/Bos_taurus.tsv	38102565798020a79a761b79f440d4d1b8da454cbff05c163f9a718721217e4c	direction_matched_no_dupes_psl_swap
Lycaon_pictus	GCA_001887905.1	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/genomes/Lycaon_pictus.2bit	twobit	6ff5b5434804bf9ea0d76546702a9bf01d288d150f8613c494d316fbcaabc699	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/chrom_sizes/Lycaon_pictus.tsv	2b812fd58f62b6cbce3b4eada420f66f55d6d81dc4e621590711f8d88010fe22	direction_matched_no_dupes_psl_swap
Macroglossus_sobrinus	GCA_004027375.1	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/genomes/Macroglossus_sobrinus.2bit	twobit	2d1efdb3a9d25de51c0f1d63de187d36d029b5b9140239224d82f2af56b1412f	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/chrom_sizes/Macroglossus_sobrinus.tsv	cfec9de73f9a17a16375013f932bfe6c6fa5a8b019d5a64120ec3e135a8d550a	direction_matched_no_dupes_psl_swap
Tolypeutes_matacus	GCA_004025125.1	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/genomes/Tolypeutes_matacus.2bit	twobit	a586a5dd5b69a33704fe8a7f840ada49717a1386892f61abddb1384e4eaed65e	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/chrom_sizes/Tolypeutes_matacus.tsv	765578aa5a8f5a2595f657a814097ef5538aa5170aeb75b026c19d25f6315721	direction_matched_no_dupes_psl_swap
Galeopterus_variegatus	GCA_004027255.1	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/genomes/Galeopterus_variegatus.2bit	twobit	db27baf4bb368b75c42f04b448f4601e6de81f9b07bf1089b7e49648ed60c7fd	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/chrom_sizes/Galeopterus_variegatus.tsv	1aa5d516874c361db4939d63694f03dd9acae2a5f96ac92ecc80ec475fe11c2c	direction_matched_no_dupes_psl_swap
Solenodon_paradoxus	GCA_004363575.1	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/genomes/Solenodon_paradoxus.2bit	twobit	0515e1bf48ae44d7acda57d09a4fecbd1894c02c12edd1b8f400eb461976626e	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/chrom_sizes/Solenodon_paradoxus.tsv	46176de97c621964d3e1ef728024fa9db3a7f5f526c4ec43fabbd08b7b320442	direction_matched_no_dupes_psl_swap
Heterohyrax_brucei	GCA_004026845.1	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/genomes/Heterohyrax_brucei.2bit	twobit	21a86e60673c73a421bdb91412c00d1d9f9f6de46fb10230bf04e23330fa49e8	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/chrom_sizes/Heterohyrax_brucei.tsv	94fa315a4dd82d376e137aa2a4bf4cddac782cf78acc553f29c6190ecf030778	direction_matched_no_dupes_psl_swap
Oryctolagus_cuniculus	GCF_000003625.3	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/genomes/Oryctolagus_cuniculus.2bit	twobit	c4c33ac96f4616cd13f94c2c8661ac118f1a62a40ac0c3c080f5566165eebda3	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/chrom_sizes/Oryctolagus_cuniculus.tsv	643bda6e3630fcffee8d1b4d3a9a6c36de5a0f801d21d9f2bccb67aa9f8e48f4	direction_matched_no_dupes_psl_swap
Elephantulus_edwardii	GCA_004027355.1	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/genomes/Elephantulus_edwardii.2bit	twobit	8f5736fb87ab83b3fd4941a821e8f8ed7950851eb63c91053bd8ea7e4c370c29	s3://oa-bolinas/snakemake/vertebrate_projection_dataset/results/functional-v1/e42a4ea1eca760219e0add91004b45cac59b19c9/a104a2756f538a1993405165fb5b50b6d4aeaf0a32810d8bb72907916eef1beb/full/hal/chrom_sizes/Elephantulus_edwardii.tsv	23c665b747c2ab18cb57fff42b99980d0291033df072356d21c60ab6565d357e	direction_matched_no_dupes_psl_swap
