name	source_url	checksum_source_url	byte_size	s3_etag	s3_etag_part_size	published_md5
allMis1	https://hgdownload.soe.ucsc.edu/gbdb/allMis1/allMis1.2bit	https://hgdownload.soe.ucsc.edu/goldenPath/allMis1/bigZips/md5sum.txt	569794406	134e740c05eedadc24de3a96775a25d6	8388608	134e740c05eedadc24de3a96775a25d6
anaPla1	https://hgdownload.soe.ucsc.edu/gbdb/anaPla1/anaPla1.2bit	https://genome-browser.s3.amazonaws.com/gbdb/anaPla1/anaPla1.2bit	333736579	449c6f054ae99bc3b2f974ba91f212c1-40	8388608	-
anoCar2	https://hgdownload.soe.ucsc.edu/gbdb/anoCar2/anoCar2.2bit	https://hgdownload.soe.ucsc.edu/goldenPath/anoCar2/bigZips/md5sum.txt	515946569	2eb71bafbedf550909e1346dfefcd686	8388608	2eb71bafbedf550909e1346dfefcd686
araMac1	https://hgdownload.soe.ucsc.edu/gbdb/araMac1/araMac1.2bit	https://genome-browser.s3.amazonaws.com/gbdb/araMac1/araMac1.2bit	356946955	f6def7a1a5987c69d5e110e5ce67f092-43	8388608	-
astMex1	https://hgdownload.soe.ucsc.edu/gbdb/astMex1/astMex1.2bit	https://genome-browser.s3.amazonaws.com/gbdb/astMex1/astMex1.2bit	356723035	cb1406476533abc0d4ad3eaada3041aa-43	8388608	-
cheMyd1	https://hgdownload.soe.ucsc.edu/gbdb/cheMyd1/cheMyd1.2bit	https://genome-browser.s3.amazonaws.com/gbdb/cheMyd1/cheMyd1.2bit	651180700	03635c69d2b792d2c0954e28da902e2f-78	8388608	-
chrPic2	https://hgdownload.soe.ucsc.edu/gbdb/chrPic2/chrPic2.2bit	https://genome-browser.s3.amazonaws.com/gbdb/chrPic2/chrPic2.2bit	691014836	34c58a50ae7593785a504e06dd3dd7f5-83	8388608	-
colLiv1	https://hgdownload.soe.ucsc.edu/gbdb/colLiv1/colLiv1.2bit	https://genome-browser.s3.amazonaws.com/gbdb/colLiv1/colLiv1.2bit	329397132	c30dd4c861bc9f9928fc17f3e08bacde-40	8388608	-
danRer10	https://hgdownload.soe.ucsc.edu/gbdb/danRer10/danRer10.2bit	https://hgdownload.soe.ucsc.edu/goldenPath/danRer10/bigZips/md5sum.txt	360902173	1a01d23744559d5fb2262bc55e98cf05	8388608	1a01d23744559d5fb2262bc55e98cf05
falChe1	https://hgdownload.soe.ucsc.edu/gbdb/falChe1/falChe1.2bit	https://genome-browser.s3.amazonaws.com/gbdb/falChe1/falChe1.2bit	351429334	e76063f56dd5099c99361d20e64e4845-42	8388608	-
ficAlb2	https://hgdownload.soe.ucsc.edu/gbdb/ficAlb2/ficAlb2.2bit	https://genome-browser.s3.amazonaws.com/gbdb/ficAlb2/ficAlb2.2bit	333738782	202daed2201eeff816414aef2d04e9bc-40	8388608	-
fr3	https://hgdownload.soe.ucsc.edu/gbdb/fr3/fr3.2bit	https://hgdownload.soe.ucsc.edu/goldenPath/fr3/bigZips/md5sum.txt	112344966	0a37a55012bfa1197594097fcbd28f45	8388608	0a37a55012bfa1197594097fcbd28f45
gadMor1	https://hgdownload.soe.ucsc.edu/gbdb/gadMor1/gadMor1.2bit	https://hgdownload.soe.ucsc.edu/goldenPath/gadMor1/bigZips/md5sum.txt	249321844	f587e1111975d56dedb0fd191647dde3	8388608	f587e1111975d56dedb0fd191647dde3
galGal4	https://hgdownload.soe.ucsc.edu/gbdb/galGal4/galGal4.2bit	https://hgdownload.soe.ucsc.edu/goldenPath/galGal4/bigZips/md5sum.txt	310446718	1a9f49ada1b3a10646ffb7f279202cdb	8388608	1a9f49ada1b3a10646ffb7f279202cdb
gasAcu1	https://hgdownload.soe.ucsc.edu/gbdb/gasAcu1/gasAcu1.2bit	https://hgdownload.soe.ucsc.edu/goldenPath/gasAcu1/bigZips/md5sum.txt	117641540	1a22c03ded17d2100eca027c1fb550e0	8388608	1a22c03ded17d2100eca027c1fb550e0
geoFor1	https://hgdownload.soe.ucsc.edu/gbdb/geoFor1/geoFor1.2bit	https://hgdownload.soe.ucsc.edu/goldenPath/geoFor1/bigZips/md5sum.txt	320078181	14b2ceead0108f6e0dcbdd8c862a760f	8388608	14b2ceead0108f6e0dcbdd8c862a760f
hg38	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/bigZips/hg38.2bit	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/bigZips/md5sum.txt	835393456	dcc3ea27079aa6dc3f9deccd7275e0f8	8388608	dcc3ea27079aa6dc3f9deccd7275e0f8
latCha1	https://hgdownload.soe.ucsc.edu/gbdb/latCha1/latCha1.2bit	https://hgdownload.soe.ucsc.edu/goldenPath/latCha1/bigZips/md5sum.txt	835073694	481996bfac10d8e50edd5e34358bc8f7	8388608	481996bfac10d8e50edd5e34358bc8f7
lepOcu1	https://hgdownload.soe.ucsc.edu/gbdb/lepOcu1/lepOcu1.2bit	https://genome-browser.s3.amazonaws.com/gbdb/lepOcu1/lepOcu1.2bit	283618149	951c5b6fde9157af5307fd0b63068d6e-34	8388608	-
melUnd1	https://hgdownload.soe.ucsc.edu/gbdb/melUnd1/melUnd1.2bit	https://hgdownload.soe.ucsc.edu/goldenPath/melUnd1/bigZips/md5sum.txt	327434413	a070ca13bd4fe5473dfe2fed757bc982	8388608	a070ca13bd4fe5473dfe2fed757bc982
oreNil2	https://hgdownload.soe.ucsc.edu/gbdb/oreNil2/oreNil2.2bit	https://hgdownload.soe.ucsc.edu/goldenPath/oreNil2/bigZips/md5sum.txt	274172955	7d5a9ee11b77180e4ff1df6cb365fe28	8388608	7d5a9ee11b77180e4ff1df6cb365fe28
oryLat2	https://hgdownload.soe.ucsc.edu/gbdb/oryLat2/oryLat2.2bit	https://hgdownload.soe.ucsc.edu/goldenPath/oryLat2/bigZips/md5sum.txt	256908053	281d8e5063a3aa506ee6db0f736dc70b	8388608	281d8e5063a3aa506ee6db0f736dc70b
pelSin1	https://hgdownload.soe.ucsc.edu/gbdb/pelSin1/pelSin1.2bit	https://genome-browser.s3.amazonaws.com/gbdb/pelSin1/pelSin1.2bit	642596180	e3e47a38cf1c302b31b62e5dece796b8-77	8388608	-
petMar2	https://hgdownload.soe.ucsc.edu/gbdb/petMar2/petMar2.2bit	https://hgdownload.soe.ucsc.edu/goldenPath/petMar2/bigZips/md5sum.txt	249965757	28f45a32688a253081685a05ec7f4755	8388608	28f45a32688a253081685a05ec7f4755
