panel_order,benchmark,subset,arm,value,se,baseline,n_groups,n_rows,n_positive,n_accessions
0,Mendelian,Missense,Chr18-held-out,0.3439345650245765,0.0184601123427447,0.1,580,5800,,
0,Mendelian,Missense,Random-held-out,0.32391115680181426,0.016968614649744997,0.1,580,5800,,
1,Mendelian,Splicing,Chr18-held-out,0.39157436822688957,0.026177030653860716,0.1,319,3190,,
1,Mendelian,Splicing,Random-held-out,0.3663974912174667,0.023817394376849616,0.1,319,3190,,
2,Mendelian,Synonymous,Chr18-held-out,0.346456897350961,0.06330023162932302,0.1,46,460,,
2,Mendelian,Synonymous,Random-held-out,0.34488080008571903,0.05972772836768249,0.1,46,460,,
3,Complex traits,Missense,Chr18-held-out,0.17368067660242312,0.015276851058032488,0.1,250,2500,,
3,Complex traits,Missense,Random-held-out,0.1758640193536753,0.0154534849378418,0.1,250,2500,,
4,SGE,Missense,Chr18-held-out,0.2645125333607506,0.007916910457875312,0.15859011180614718,,19059,3007,8
4,SGE,Missense,Random-held-out,0.2624214452160505,0.0076514326972410346,0.15859011180614718,,19059,3007,8
5,SGE,Splicing,Chr18-held-out,0.47294463189499325,0.02280894107038227,0.12762017118894933,,4442,494,6
5,SGE,Splicing,Random-held-out,0.5009053299671006,0.021779045212742484,0.12762017118894933,,4442,494,6
