alignment_name	scientific_name	assembly	taxonomy_id	family	order	clade	phylogenetic_rank	backend	selection_priority	assembly_level	contig_n50	quality_source
Microgale_talazaci	Nesogale talazaci	GCA_004026705.1	2583312	Tenrecidae	Afrosoricida	mammals	1	zoonomia_cactus	10	Scaffold	56946	zoonomia_supp_st2
Bos_taurus	Bos taurus	GCF_000003205.7	9913	Bovidae	Artiodactyla	mammals	1	zoonomia_cactus	10	Chromosome	276285	zoonomia_supp_st2
Lycaon_pictus	Lycaon pictus	GCA_001887905.1	9622	Canidae	Carnivora	mammals	1	zoonomia_cactus	10	Chromosome	5555	zoonomia_supp_st2
Macroglossus_sobrinus	Macroglossus sobrinus	GCA_004027375.1	326083	Pteropodidae	Chiroptera	mammals	1	zoonomia_cactus	10	Scaffold	338389	zoonomia_supp_st2
Tolypeutes_matacus	Tolypeutes matacus	GCA_004025125.1	183749	Chlamyphoridae	Cingulata	mammals	1	zoonomia_cactus	10	Scaffold	9441	zoonomia_supp_st2
Galeopterus_variegatus	Galeopterus variegatus	GCA_004027255.1	482537	Cynocephalidae	Dermoptera	mammals	1	zoonomia_cactus	10	Scaffold	20753	ncbi_taxon_proxy
Solenodon_paradoxus	Solenodon paradoxus	GCA_004363575.1	79805	Solenodontidae	Eulipotyphla	mammals	1	zoonomia_cactus	10	Scaffold	236847	zoonomia_supp_st2
Heterohyrax_brucei	Heterohyrax brucei	GCA_004026845.1	77598	Procaviidae	Hyracoidea	mammals	1	zoonomia_cactus	10	Scaffold	62841	zoonomia_supp_st2
Oryctolagus_cuniculus	Oryctolagus cuniculus	GCF_000003625.3	9986	Leporidae	Lagomorpha	mammals	1	zoonomia_cactus	10	Chromosome	64648	zoonomia_supp_st2
Elephantulus_edwardii	Elephantulus edwardii	GCA_004027355.1	28737	Macroscelididae	Macroscelidea	mammals	1	zoonomia_cactus	10	Scaffold	16488	zoonomia_supp_st2
Equus_caballus	Equus caballus	GCF_000002305.2	9796	Equidae	Perissodactyla	mammals	1	zoonomia_cactus	10	Chromosome	112381	zoonomia_supp_st2
Manis_javanica	Manis javanica	GCF_001685135.1	9974	Manidae	Pholidota	mammals	1	zoonomia_cactus	10	Scaffold	38922	zoonomia_supp_st2
Choloepus_hoffmanni	Choloepus hoffmanni	GCA_000164785.2	9358	Megalonychidae	Pilosa	mammals	1	zoonomia_cactus	10	Scaffold	64490	zoonomia_supp_st2
Loxodonta_africana	Loxodonta africana	GCF_030014295.1	9785	Elephantidae	Proboscidea	mammals	1	zoonomia_cactus	10	Chromosome	82653632	ncbi_taxon_proxy
Mus_musculus	Mus musculus	GCF_000001635.26	10090	Muridae	Rodentia	mammals	1	zoonomia_cactus	10	Chromosome	59462871	ncbi_taxon_proxy
Tupaia_tana	Tupaia tana	GCA_004365275.1	70687	Tupaiidae	Scandentia	mammals	1	zoonomia_cactus	10	Scaffold	2971	zoonomia_supp_st2
Trichechus_manatus	Trichechus manatus	GCF_000243295.1	9778	Trichechidae	Sirenia	mammals	1	zoonomia_cactus	10	Scaffold	37750	zoonomia_supp_st2
Orycteropus_afer	Orycteropus afer	GCA_004365145.1	9818	Orycteropodidae	Tubulidentata	mammals	1	zoonomia_cactus	10	Scaffold	20354	zoonomia_supp_st2
anaPla1	Anas platyrhynchos	BGI_duck_1.0/anaPla1	8839	Anatidae	Anseriformes	birds	2	ucsc_multiz100way	10	unknown	0	unknown
colLiv1	Columba livia	Cliv_1.0/colLiv1	8932	Columbidae	Columbiformes	birds	2	ucsc_multiz100way	10	unknown	0	unknown
falChe1	Falco cherrug	F_cherrug_v1.0/falChe1	345164	Falconidae	Falconiformes	birds	2	ucsc_multiz100way	10	unknown	0	unknown
galGal4	Gallus gallus	Gallus_gallus-4.0/galGal4	9031	Phasianidae	Galliformes	birds	2	ucsc_multiz100way	10	unknown	0	unknown
ficAlb2	Ficedula albicollis	FicAlb1.5/ficAlb2	59894	Muscicapidae	Passeriformes	birds	2	ucsc_multiz100way	10	unknown	0	unknown
araMac1	Ara macao	SMACv1.1/araMac1	176014	Psittacidae	Psittaciformes	birds	2	ucsc_multiz100way	10	unknown	0	unknown
allMis1	Alligator mississippiensis	allMis0.2/allMis1	8496	Alligatoridae	Crocodylia	reptiles	3	ucsc_multiz100way	10	unknown	0	unknown
anoCar2	Anolis carolinensis	AnoCar2.0/anoCar2	28377	Dactyloidae	Squamata	reptiles	3	ucsc_multiz100way	10	unknown	0	unknown
cheMyd1	Chelonia mydas	CheMyd_1.0/cheMyd1	8469	Cheloniidae	Testudines	reptiles	3	ucsc_multiz100way	10	unknown	0	unknown
xenTro7	Xenopus tropicalis	JGI_7.0/xenTro7	8364	Pipidae	Anura	amphibians	4	ucsc_multiz100way	10	unknown	0	unknown
latCha1	Latimeria chalumnae	Broad/latCha1	7897	Coelacanthidae	Coelacanthiformes	lobe-finned_fish	5	ucsc_multiz100way	10	unknown	0	unknown
oryLat2	Oryzias latipes	MEDAKA1/oryLat2	8090	Adrianichthyidae	Beloniformes	ray-finned_fish	6	ucsc_multiz100way	10	unknown	0	unknown
astMex1	Astyanax mexicanus	Astyanax_mexicanus-1.0.2/astMex1	7994	Acestrorhamphidae	Characiformes	ray-finned_fish	6	ucsc_multiz100way	10	unknown	0	unknown
oreNil2	Oreochromis niloticus	oreNil1.1/oreNil2	8128	Cichlidae	Cichliformes	ray-finned_fish	6	ucsc_multiz100way	10	unknown	0	unknown
danRer10	Danio rerio	Zv10/danRer10	7955	Danionidae	Cypriniformes	ray-finned_fish	6	ucsc_multiz100way	10	unknown	0	unknown
xipMac1	Xiphophorus maculatus	X_maculatus-4.4.2/xipMac1	8083	Poeciliidae	Cyprinodontiformes	ray-finned_fish	6	ucsc_multiz100way	10	unknown	0	unknown
gadMor1	Gadus morhua	GadMor_May2010/gadMor1	8049	Gadidae	Gadiformes	ray-finned_fish	6	ucsc_multiz100way	10	unknown	0	unknown
