Assembly Accession	Organism Name	order	class	phylum	Assembly Level	Assembly Stats Total Sequence Length
GCF_017654505.1	Polyodon spathula	Acipenseriformes	Actinopteri	Chordata	Chromosome	1542066908
GCF_042242105.1	Pempheris klunzingeri	Acropomatiformes	Actinopteri	Chordata	Chromosome	646252061
GCF_036373705.1	Amia ocellicauda	Amiiformes	Actinopteri	Chordata	Chromosome	989103751
GCF_900634795.4	Betta splendens	Anabantiformes	Actinopteri	Chordata	Chromosome	426984265
GCF_018555375.3	Anguilla rostrata	Anguilliformes	Actinopteri	Chordata	Chromosome	976090453
GCF_017639745.1	Melanotaenia boesemani	Atheriniformes	Actinopteri	Chordata	Chromosome	865575964
GCF_902500255.1	Thalassophryne amazonica	Batrachoidiformes	Actinopteri	Chordata	Chromosome	2446592878
GCF_002234675.1	Oryzias latipes	Beloniformes	Actinopteri	Chordata	Chromosome	734040372
GCF_026898505.1	Centroberyx gerrardi	Beryciformes	Actinopteri	Chordata	Contig	735610683
GCF_902148845.1	Salarias fasciatus	Blenniiformes	Actinopteri	Chordata	Chromosome	797490645
GCF_900963305.1	Echeneis naucrates	Carangiformes	Actinopteri	Chordata	Chromosome	544212633
GCF_043641665.1	Enoplosus armatus	Centrarchiformes	Actinopteri	Chordata	Chromosome	579881259
GCF_017976325.1	Chelmon rostratus	Chaetodontiformes	Actinopteri	Chordata	Chromosome	644191893
GCF_030463535.1	Salminus brasiliensis	Characiformes	Actinopteri	Chordata	Chromosome	1066483687
GCF_900246225.1	Astatotilapia calliptera	Cichliformes	Actinopteri	Chordata	Chromosome	880428986
GCF_900700375.1	Denticeps clupeoides	Clupeiformes	Actinopteri	Chordata	Chromosome	567401054
GCF_049306965.1	Danio rerio	Cypriniformes	Actinopteri	Chordata	Complete Genome	1448791966
GCF_019740435.1	Gambusia affinis	Cyprinodontiformes	Actinopteri	Chordata	Chromosome	680149392
GCF_013368585.1	Megalops cyprinoides	Elopiformes	Actinopteri	Chordata	Chromosome	959241634
GCF_011004845.1	Esox lucius	Esociformes	Actinopteri	Chordata	Chromosome	918731919
GCF_031168955.1	Gadus macrocephalus	Gadiformes	Actinopteri	Chordata	Chromosome	555681083
GCF_009829125.3	Periophthalmus magnuspinnatus	Gobiiformes	Actinopteri	Chordata	Chromosome	752605561
GCF_902362185.1	Chanos chanos	Gonorynchiformes	Actinopteri	Chordata	Chromosome	656912816
GCF_013358815.1	Electrophorus electricus	Gymnotiformes	Actinopteri	Chordata	Chromosome	589358956
GCF_902150065.1	Myripristis murdjan	Holocentriformes	Actinopteri	Chordata	Chromosome	835254674
GCF_016859285.1	Xiphias gladius	Istiophoriformes	Actinopteri	Chordata	Chromosome	691763775
GCF_902148855.1	Sphaeramia orbicularis	Kurtiformes	Actinopteri	Chordata	Chromosome	1342662642
GCF_963930695.1	Labrus bergylta	Labriformes	Actinopteri	Chordata	Chromosome	720210020
GCF_029633865.1	Lampris incognitus	Lampriformes	Actinopteri	Chordata	Chromosome	1482357630
GCF_040956055.1	Brachionichthys hirsutus	Lophiiformes	Actinopteri	Chordata	Chromosome	406634837
GCF_022458985.1	Mugil cephalus	Mugiliformes	Actinopteri	Chordata	Chromosome	634849760
GCF_046128005.1	Genypterus blacodes	Ophidiiformes	Actinopteri	Chordata	Contig	463765610
GCF_021917145.1	Hypomesus transpacificus	Osmeriformes	Actinopteri	Chordata	Chromosome	437273953
GCF_900964775.1	Scleropages formosus	Osteoglossiformes	Actinopteri	Chordata	Chromosome	784546363
GCF_949316345.1	Pungitius pungitius	Perciformes	Actinopteri	Chordata	Chromosome	480434100
GCF_000523025.1	Cynoglossus semilaevis	Pleuronectiformes	Actinopteri	Chordata	Chromosome	470182763
GCF_018296145.1	Oncorhynchus tshawytscha	Salmoniformes	Actinopteri	Chordata	Chromosome	2294842546
GCF_963691925.1	Scomber scombrus	Scombriformes	Actinopteri	Chordata	Chromosome	764141294
GCF_040954835.1	Lepisosteus oculatus	Semionotiformes	Actinopteri	Chordata	Chromosome	1200589847
GCF_030014155.1	Tachysurus vachellii	Siluriformes	Actinopteri	Chordata	Chromosome	692104899
GCF_904848185.1	Acanthopagrus latus	Spariformes	Actinopteri	Chordata	Chromosome	685127588
GCF_900324485.2	Mastacembelus armatus	Synbranchiformes	Actinopteri	Chordata	Chromosome	591935101
GCF_901709675.1	Syngnathus acus	Syngnathiformes	Actinopteri	Chordata	Chromosome	324331233
GCF_003711565.1	Takifugu flavidus	Tetraodontiformes	Actinopteri	Chordata	Chromosome	366286831
GCF_027358695.1	Spea bombifrons	Anura	Amphibia	Chordata	Chromosome	987655159
GCF_902459505.1	Geotrypetes seraphini	Gymnophiona	Amphibia	Chordata	Chromosome	3779413726
GCF_947623445.1	Clavelina lepadiformis	Aplousobranchia	Ascidiacea	Chordata	Chromosome	210074726
GCF_000224145.3	Ciona intestinalis	Phlebobranchia	Ascidiacea	Chordata	Chromosome	115212710
GCF_964204865.1	Styela clava	Stolidobranchia	Ascidiacea	Chordata	Chromosome	376784849
GCF_900496995.4	Aquila chrysaetos chrysaetos	Accipitriformes	Aves	Chordata	Chromosome	1233704830
GCF_047663525.1	Anas platyrhynchos	Anseriformes	Aves	Chordata	Complete Genome	1261969826
GCF_036169615.1	Heliangelus exortis	Apodiformes	Aves	Chordata	Chromosome	1049650714
GCF_036417845.1	Apteryx mantelli	Apterygiformes	Aves	Chordata	Chromosome	1504396159
GCF_000710305.1	Buceros rhinoceros silvestris	Bucerotiformes	Aves	Chordata	Scaffold	1065782791
GCF_000700745.2	Antrostomus carolinensis	Caprimulgiformes	Aves	Chordata	Scaffold	1118829799
GCF_000690535.1	Cariama cristata	Cariamiformes	Aves	Chordata	Scaffold	1132245425
GCF_036370855.1	Dromaius novaehollandiae	Casuariiformes	Aves	Chordata	Chromosome	1468706110
GCF_964106895.1	Numenius arquata	Charadriiformes	Aves	Chordata	Chromosome	1348859203
GCF_034638445.1	Ciconia boyciana	Ciconiiformes	Aves	Chordata	Chromosome	1240615254
GCF_028858725.1	Colius striatus	Coliiformes	Aves	Chordata	Chromosome	1212464869
GCF_036013445.1	Caloenas nicobarica	Columbiformes	Aves	Chordata	Chromosome	1285834579
GCF_000691845.1	Merops nubicus	Coraciiformes	Aves	Chordata	Scaffold	1062961556
GCF_017976375.1	Cuculus canorus	Cuculiformes	Aves	Chordata	Chromosome	1180136575
GCF_000690775.1	Eurypyga helias	Eurypygiformes	Aves	Chordata	Scaffold	1088019637
GCF_015220075.1	Falco rusticolus	Falconiformes	Aves	Chordata	Chromosome	1195829278
GCF_016699485.2	Gallus gallus	Galliformes	Aves	Chordata	Chromosome	1053315467
GCF_030936135.1	Gavia stellata	Gaviiformes	Aves	Chordata	Chromosome	1321270170
GCF_011004875.1	Balearica regulorum gibbericeps	Gruiformes	Aves	Chordata	Chromosome	1221032548
