species	family	order	accession	assembly_level	contig_n50	quality_source
Microgale_talazaci	Tenrecidae	Afrosoricida	GCA_004026705.1	Scaffold	56946	zoonomia_supp_st2
Bos_taurus	Bovidae	Artiodactyla	GCF_000003205.7	Chromosome	276285	zoonomia_supp_st2
Lycaon_pictus	Canidae	Carnivora	GCA_001887905.1	Chromosome	5555	zoonomia_supp_st2
Macroglossus_sobrinus	Pteropodidae	Chiroptera	GCA_004027375.1	Scaffold	338389	zoonomia_supp_st2
Tolypeutes_matacus	Chlamyphoridae	Cingulata	GCA_004025125.1	Scaffold	9441	zoonomia_supp_st2
Galeopterus_variegatus	Cynocephalidae	Dermoptera	GCA_004027255.1	Scaffold	20753	ncbi_taxon_proxy
Solenodon_paradoxus	Solenodontidae	Eulipotyphla	GCA_004363575.1	Scaffold	236847	zoonomia_supp_st2
Heterohyrax_brucei	Procaviidae	Hyracoidea	GCA_004026845.1	Scaffold	62841	zoonomia_supp_st2
Oryctolagus_cuniculus	Leporidae	Lagomorpha	GCF_000003625.3	Chromosome	64648	zoonomia_supp_st2
Elephantulus_edwardii	Macroscelididae	Macroscelidea	GCA_004027355.1	Scaffold	16488	zoonomia_supp_st2
Equus_caballus	Equidae	Perissodactyla	GCF_000002305.2	Chromosome	112381	zoonomia_supp_st2
Manis_javanica	Manidae	Pholidota	GCF_001685135.1	Scaffold	38922	zoonomia_supp_st2
Choloepus_hoffmanni	Megalonychidae	Pilosa	GCA_000164785.2	Scaffold	64490	zoonomia_supp_st2
Homo_sapiens	Hominidae	Primates	GCA_000001405.27	Chromosome	57879411	ncbi_taxon_proxy
Loxodonta_africana	Elephantidae	Proboscidea	GCF_030014295.1	Chromosome	82653632	ncbi_taxon_proxy
Mus_musculus	Muridae	Rodentia	GCF_000001635.26	Chromosome	59462871	ncbi_taxon_proxy
Tupaia_tana	Tupaiidae	Scandentia	GCA_004365275.1	Scaffold	2971	zoonomia_supp_st2
Trichechus_manatus	Trichechidae	Sirenia	GCF_000243295.1	Scaffold	37750	zoonomia_supp_st2
Orycteropus_afer	Orycteropodidae	Tubulidentata	GCA_004365145.1	Scaffold	20354	zoonomia_supp_st2
