context_bp,subset,value,se,n,n_pos,n_chrom,c_min,c_med,c_max,full_c,n_at_low_edge,n_at_high_edge,low_edge_gain,high_edge_gain,at_edge,truncation_risk,dataset,split,regime
31,3_prime_UTR_variant,0.27639573,0.047495599,770,77,10,1e-10,1000,10000,100,0,3,0,0.00027242941,True,False,mendelian_traits,train,context reduction
63,3_prime_UTR_variant,0.28984981,0.071564942,770,77,10,1e-12,1e-06,1e-05,1e-09,1,0,0,-0.0014730447,True,False,mendelian_traits,train,context reduction
127,3_prime_UTR_variant,0.31512073,0.053257714,770,77,10,1e-12,1e-05,10000,100,1,2,0,0.00089326693,True,False,mendelian_traits,train,context reduction
255,3_prime_UTR_variant,0.51032523,0.069606591,770,77,10,0.0001,0.001,0.001,0.001,0,0,0.0040952615,-0.008926426,False,False,mendelian_traits,train,training context
511,3_prime_UTR_variant,0.46156156,0.056290808,770,77,10,1e-12,0.0001,0.001,1e-06,1,0,0,0.015039789,True,False,mendelian_traits,train,inference extension
1023,3_prime_UTR_variant,0.17615128,0.024531444,770,77,10,100,10000,10000,100,0,7,0,-0.001216623,True,False,mendelian_traits,train,inference extension
31,5_prime_UTR_variant,0.28175707,0.096452865,2100,210,11,1e-12,1e-08,1e-08,1e-08,1,0,0,0.00078579173,True,False,mendelian_traits,train,context reduction
63,5_prime_UTR_variant,0.13019539,0.012033207,2100,210,11,1e-12,1e-08,10000,1e-08,2,1,0,0.01600536,True,True,mendelian_traits,train,context reduction
127,5_prime_UTR_variant,0.25364513,0.034726177,2100,210,11,1e-12,0.001,0.001,0.001,1,0,-0.00026442868,-0.0025063684,True,False,mendelian_traits,train,context reduction
255,5_prime_UTR_variant,0.5105012,0.065710032,2100,210,11,0.001,0.001,0.001,0.001,0,0,0.00083868708,-0.0017353473,False,False,mendelian_traits,train,training context
511,5_prime_UTR_variant,0.50691477,0.10061394,2100,210,11,0.0001,0.0001,0.001,0.0001,0,0,0.00062188335,-0.011250211,False,False,mendelian_traits,train,inference extension
1023,5_prime_UTR_variant,0.23838395,0.078917301,2100,210,11,1e-05,0.001,0.01,0.001,0,0,0,-0.0011531112,False,False,mendelian_traits,train,inference extension
31,_macro_avg_,0.31743252,0.026941372,16100,1610,12,,,,,,,,,,False,mendelian_traits,train,context reduction
63,_macro_avg_,0.33543077,0.02663275,16100,1610,12,,,,,,,,,,False,mendelian_traits,train,context reduction
127,_macro_avg_,0.41302953,0.02550089,16100,1610,12,,,,,,,,,,False,mendelian_traits,train,context reduction
255,_macro_avg_,0.47785509,0.021645666,16100,1610,12,,,,,,,,,,False,mendelian_traits,train,training context
511,_macro_avg_,0.465424,0.027972635,16100,1610,12,,,,,,,,,,False,mendelian_traits,train,inference extension
1023,_macro_avg_,0.16611243,0.010630864,16100,1610,12,,,,,,,,,,False,mendelian_traits,train,inference extension
31,distal,0.38633359,0.041559351,580,58,12,0.1,10,10000,100,0,1,0,0.0016622351,True,False,mendelian_traits,train,context reduction
63,distal,0.29064766,0.086961257,580,58,12,0.01,10,100,0.01,0,0,0,-0.0021017749,False,False,mendelian_traits,train,context reduction
127,distal,0.39058893,0.098638205,580,58,12,0.001,0.1,10,0.1,0,0,0,-0.00034588215,False,False,mendelian_traits,train,context reduction
255,distal,0.50358549,0.070733613,580,58,12,0.01,0.1,10000,0.01,0,1,0,0.0011391627,True,False,mendelian_traits,train,training context
511,distal,0.40905905,0.077932784,580,58,12,0.1,1000,10000,1000,0,4,0,-0.0059280353,True,False,mendelian_traits,train,inference extension
1023,distal,0.16273678,0.055575706,580,58,12,0.001,10,10000,10,0,1,0,-0.0018389565,True,False,mendelian_traits,train,inference extension
31,missense_variant,0.25955579,0.023492689,5800,580,12,0.001,0.001,0.001,0.001,0,0,0,-2.565597e-05,False,False,mendelian_traits,train,context reduction
63,missense_variant,0.39489512,0.016988866,5800,580,12,0.001,0.001,0.001,0.001,0,0,0.0017323437,-0.0014135731,False,False,mendelian_traits,train,context reduction
127,missense_variant,0.50849587,0.020767797,5800,580,12,0.001,0.001,0.001,0.001,0,0,0.00047825942,-0.00040570236,False,False,mendelian_traits,train,context reduction
255,missense_variant,0.53866706,0.018247841,5800,580,12,0.001,0.001,0.001,0.001,0,0,0.0011631127,-0.003139187,False,False,mendelian_traits,train,training context
511,missense_variant,0.50965637,0.013632468,5800,580,12,0.001,0.001,0.001,0.001,0,0,0.00062745021,0.0027195262,False,False,mendelian_traits,train,inference extension
