sample_id,component,target_nucleotide_index,reverse_target_nucleotide_index,target_nucleotide_class,repeat_masked_target,left_logp_a,right_logp_a,left_logp_c,right_logp_c,left_logp_g,right_logp_g,left_logp_t,right_logp_t
0,cds,197,57,3,False,-0.76171875,-0.9921875,-1.6875,-1.453125,-2.296875,-1.65625,-1.3984375,-1.5859375
1,upstream,228,26,3,False,-1.9765625,-1.390625,-1.7421875,-1.4765625,-0.8984375,-1.6015625,-1.2734375,-1.1328125
2,downstream,229,25,1,False,-1.375,-1.5,-1.375,-1.4921875,-1.78125,-1.578125,-1.125,-1.0625
3,enhancer,140,114,3,False,-1.390625,-1.5234375,-1.7890625,-1.1484375,-1.3515625,-1.4765625,-1.125,-1.4453125
4,ncrna,120,134,2,False,-3.21875,-2.859375,-4.6875,-3.0625,-0.05908203125,-0.130859375,-4.8125,-4.0
5,cds,118,136,2,False,-4.0,-3.296875,-0.7265625,-1.6875,-0.75,-0.271484375,-3.71875,-4.125
6,upstream,226,28,2,False,-1.6171875,-1.0625,-1.4453125,-1.421875,-0.94921875,-1.5390625,-1.7265625,-1.6171875
7,downstream,103,151,0,False,-1.5390625,-1.1328125,-1.28125,-1.71875,-1.375,-1.5546875,-1.3671875,-1.25
8,enhancer,84,170,3,False,-1.6328125,-1.265625,-1.6484375,-1.125,-1.5078125,-1.671875,-0.94140625,-1.59375
9,ncrna,123,131,3,False,-4.78125,-3.078125,-0.07080078125,-0.62890625,-5.375,-3.59375,-2.890625,-0.9296875
10,cds,5,249,2,False,-1.4453125,-1.015625,-1.6015625,-1.9921875,-0.96484375,-1.609375,-1.703125,-1.1953125
11,upstream,182,72,2,False,-1.0703125,-1.359375,-1.4609375,-1.3515625,-1.6953125,-1.15625,-1.421875,-1.7734375
12,downstream,136,118,3,False,-1.125,-1.671875,-1.6875,-1.1015625,-1.359375,-1.40625,-1.4453125,-1.4453125
13,enhancer,41,213,2,False,-1.0703125,-2.109375,-1.734375,-0.353515625,-1.3203125,-2.28125,-1.53125,-2.59375
14,ncrna,107,147,3,False,-5.09375,-5.09375,-5.28125,-4.21875,-3.859375,-3.171875,-0.032958984375,-0.064453125
15,cds,214,40,0,False,-1.609375,-2.5,-1.546875,-1.0703125,-1.8046875,-2.015625,-0.86328125,-0.8125
16,upstream,162,92,3,False,-1.171875,-1.3984375,-1.640625,-1.3125,-1.3984375,-1.34375,-1.3828125,-1.5078125
17,downstream,80,174,3,False,-0.9765625,-1.140625,-2.0625,-2.015625,-1.1796875,-1.4140625,-1.671875,-1.1953125
18,enhancer,247,7,1,True,-1.0546875,-1.328125,-1.3046875,-1.3125,-2.734375,-1.71875,-1.15625,-1.25
19,ncrna,245,9,2,False,-1.2578125,-1.2265625,-2.640625,-2.203125,-0.703125,-1.5859375,-1.9140625,-0.9453125
20,cds,166,88,2,False,-1.2890625,-1.2265625,-1.4375,-1.28125,-1.3203125,-1.734375,-1.515625,-1.375
21,upstream,225,29,3,False,-1.75,-1.6171875,-0.65234375,-1.28125,-2.125,-1.3125,-1.6796875,-1.359375
22,downstream,180,74,1,False,-1.0546875,-1.15625,-1.7890625,-1.3515625,-1.9453125,-1.7109375,-1.0703125,-1.40625
23,enhancer,105,149,1,False,-3.453125,-5.65625,-1.140625,-0.056640625,-3.734375,-5.5,-0.470703125,-3.046875
24,ncrna,85,169,3,False,-9.0,-11.8125,-9.25,-8.9375,-9.4375,-10.0,-0.0003032684326171875,-0.00018978118896484375
25,cds,77,177,3,False,-9.375,-5.5625,-10.25,-3.8125,-10.6875,-5.03125,-0.00014209747314453125,-0.032958984375
26,upstream,108,146,2,False,-9.4375,-5.15625,-6.625,-4.53125,-0.002349853515625,-0.019775390625,-7.0,-5.8125
27,downstream,152,102,2,False,-2.03125,-1.875,-0.6953125,-1.7734375,-2.328125,-0.7421875,-1.3046875,-1.6015625
28,enhancer,80,174,0,False,-2.046875,-0.047119140625,-2.578125,-5.8125,-3.796875,-3.25,-0.259765625,-5.53125
29,ncrna,154,100,1,False,-3.40625,-3.828125,-3.28125,-2.96875,-0.08056640625,-0.10546875,-5.0,-3.609375
30,cds,242,12,3,False,-1.09375,-1.1484375,-1.8046875,-2.484375,-1.4296875,-1.734375,-1.3359375,-0.86328125
31,upstream,136,118,1,False,-2.046875,-2.21875,-0.9140625,-1.0859375,-1.1953125,-1.1171875,-1.78125,-1.484375
32,downstream,244,10,1,False,-1.234375,-1.9140625,-1.0625,-1.3515625,-2.453125,-1.15625,-1.2890625,-1.28125
33,enhancer,193,61,1,False,-5.15625,-2.375,-0.058837890625,-0.421875,-3.4375,-1.5390625,-3.953125,-3.28125
34,ncrna,166,88,2,False,-2.0,-2.015625,-1.2421875,-1.1875,-2.125,-0.890625,-0.78515625,-1.8828125
35,cds,191,63,2,False,-1.15625,-1.2421875,-1.609375,-1.359375,-1.875,-1.7890625,-1.1015625,-1.2421875
36,upstream,225,29,0,True,-1.703125,-2.734375,-1.484375,-1.4765625,-1.6171875,-0.4453125,-0.93359375,-2.703125
37,downstream,101,153,0,False,-1.0234375,-1.296875,-1.859375,-1.5,-1.9609375,-1.8671875,-1.0625,-1.0546875
38,enhancer,82,172,0,False,-1.203125,-2.015625,-1.4453125,-1.0703125,-1.25,-1.234375,-1.734375,-1.46875
39,ncrna,152,102,2,False,-3.71875,-3.453125,-5.125,-5.125,-0.03466796875,-0.0517578125,-5.5625,-4.375
40,cds,153,101,1,False,-2.21875,-2.03125,-1.0390625,-0.7734375,-1.8359375,-1.234375,-0.97265625,-2.15625
41,upstream,9,245,1,False,-2.0625,-1.484375,-1.390625,-1.2421875,-0.84765625,-1.3515625,-1.625,-1.4921875
42,downstream,26,228,2,False,-1.171875,-1.15625,-2.09375,-2.546875,-1.265625,-1.265625,-1.2578125,-1.1171875
43,enhancer,202,52,3,False,-5.3125,-6.40625,-3.5,-5.25,-4.65625,-5.875,-0.04541015625,-0.009765625
44,ncrna,184,70,1,False,-3.171875,-1.609375,-0.10498046875,-1.09375,-4.3125,-1.7578125,-3.125,-1.2265625
45,cds,220,34,1,False,-9.4375,-2.109375,-0.00133514404296875,-0.625,-7.3125,-1.2421875,-7.46875,-2.875
46,upstream,97,157,0,True,-1.4375,-1.5625,-1.4453125,-1.2421875,-1.21875,-1.1953125,-1.46875,-1.609375
47,downstream,254,0,3,False,-2.234375,-1.3203125,-1.3359375,-1.4765625,-1.21875,-1.4609375,-1.09375,-1.296875
48,enhancer,194,60,0,True,-0.00604248046875,-0.0223388671875,-7.71875,-5.25,-6.3125,-4.15625,-5.59375,-6.9375
49,ncrna,50,204,1,False,-6.75,-5.34375,-0.06591796875,-0.04638671875,-4.5625,-3.796875,-2.953125,-4.0
50,cds,28,226,1,False,-2.390625,-1.765625,-0.53515625,-0.75390625,-1.6953125,-1.25,-1.9765625,-2.625
51,upstream,67,187,3,False,-1.0234375,-1.3046875,-1.6484375,-1.6484375,-1.328125,-1.4765625,-1.703125,-1.1796875
52,downstream,183,71,3,False,-0.859375,-1.0390625,-1.8046875,-3.046875,-3.453125,-1.7109375,-0.96875,-0.87109375
53,enhancer,179,75,0,True,-1.171875,-1.2265625,-1.53125,-1.6328125,-1.7265625,-1.734375,-1.21875,-1.09375
54,ncrna,232,22,3,False,-3.28125,-1.5,-3.8125,-1.7890625,-4.5625,-1.3515625,-0.07275390625,-1.046875
55,cds,90,164,1,True,-2.234375,-2.234375,-1.0703125,-1.359375,-1.8359375,-2.6875,-0.94140625,-0.56640625
56,upstream,214,40,3,True,-0.9453125,-2.3125,-1.3125,-3.015625,-3.4375,-0.4765625,-1.171875,-1.4609375
57,downstream,31,223,0,False,-1.4765625,-1.5703125,-1.546875,-0.5703125,-1.1953125,-2.203125,-1.3671875,-2.15625
58,enhancer,227,27,0,False,-0.07958984375,-0.515625,-3.984375,-3.9375,-3.15625,-0.99609375,-4.1875,-4.3125
59,ncrna,185,69,0,False,-2.171875,-1.2734375,-0.53515625,-2.515625,-1.2890625,-0.95703125,-3.71875,-1.3671875
